0.10000D-01,0.19286D-01,0.38995D-01,0.10498D-01,0.61327D-03,0.24994D-02,0.35270D-02,0.38340D-02,0.21168D-02
0.20000D-01,0.58098D-01,0.95074D-01,0.37537D-01,0.30323D-02,0.12168D-01,0.16859D-01,0.18452D-01,0.10189D-01
0.30000D-01,0.10653D+00,0.14840D+00,0.77602D-01,0.83839D-02,0.32194D-01,0.43744D-01,0.48149D-01,0.26736D-01
0.40000D-01,0.15621D+00,0.19234D+00,0.12336D+00,0.17204D-01,0.62075D-01,0.82611D-01,0.91284D-01,0.51337D-01
0.50000D-01,0.20322D+00,0.22713D+00,0.16904D+00,0.29349D-01,0.98637D-01,0.12838D+00,0.14208D+00,0.81645D-01
0.60000D-01,0.24676D+00,0.25494D+00,0.21195D+00,0.44219D-01,0.13829D+00,0.17576D+00,0.19433D+00,0.11519D+00
0.70000D-01,0.28732D+00,0.27789D+00,0.25160D+00,0.61052D-01,0.17848D+00,0.22123D+00,0.24373D+00,0.15040D+00
0.80000D-01,0.32557D+00,0.29764D+00,0.28847D+00,0.79150D-01,0.21794D+00,0.26329D+00,0.28836D+00,0.18660D+00
0.90000D-01,0.36194D+00,0.31530D+00,0.32315D+00,0.97975D-01,0.25625D+00,0.30177D+00,0.32798D+00,0.22357D+00
0.10000D+00,0.39655D+00,0.33161D+00,0.35604D+00,0.11715D+00,0.29335D+00,0.33709D+00,0.36316D+00,0.26113D+00
0.11000D+00,0.42937D+00,0.34703D+00,0.38729D+00,0.13645D+00,0.32921D+00,0.36978D+00,0.39472D+00,0.29894D+00
0.12000D+00,0.46026D+00,0.36186D+00,0.41691D+00,0.15569D+00,0.36372D+00,0.40025D+00,0.42336D+00,0.33650D+00
0.13000D+00,0.48911D+00,0.37625D+00,0.44480D+00,0.17475D+00,0.39671D+00,0.42875D+00,0.44960D+00,0.37320D+00
0.14000D+00,0.51587D+00,0.39031D+00,0.47092D+00,0.19354D+00,0.42800D+00,0.45543D+00,0.47383D+00,0.40845D+00
0.15000D+00,0.54055D+00,0.40407D+00,0.49521D+00,0.21197D+00,0.45743D+00,0.48038D+00,0.49629D+00,0.44180D+00
0.16000D+00,0.56321D+00,0.41756D+00,0.51771D+00,0.22995D+00,0.48492D+00,0.50367D+00,0.51716D+00,0.47292D+00
0.17000D+00,0.58397D+00,0.43077D+00,0.53846D+00,0.24741D+00,0.51043D+00,0.52536D+00,0.53656D+00,0.50161D+00
0.18000D+00,0.60297D+00,0.44370D+00,0.55757D+00,0.26432D+00,0.53400D+00,0.54552D+00,0.55463D+00,0.52787D+00
0.19000D+00,0.62037D+00,0.45633D+00,0.57516D+00,0.28062D+00,0.55572D+00,0.56423D+00,0.57145D+00,0.55174D+00
0.20000D+00,0.63632D+00,0.46865D+00,0.59134D+00,0.29631D+00,0.57568D+00,0.58160D+00,0.58712D+00,0.57337D+00
0.21000D+00,0.65096D+00,0.48065D+00,0.60626D+00,0.31138D+00,0.59402D+00,0.59771D+00,0.60174D+00,0.59296D+00
0.22000D+00,0.66445D+00,0.49231D+00,0.62002D+00,0.32582D+00,0.61087D+00,0.61266D+00,0.61539D+00,0.61070D+00
0.23000D+00,0.67689D+00,0.50364D+00,0.63275D+00,0.33967D+00,0.62637D+00,0.62655D+00,0.62815D+00,0.62681D+00
0.24000D+00,0.68840D+00,0.51463D+00,0.64454D+00,0.35293D+00,0.64064D+00,0.63946D+00,0.64009D+00,0.64149D+00
0.25000D+00,0.69908D+00,0.52529D+00,0.65550D+00,0.36563D+00,0.65380D+00,0.65148D+00,0.65127D+00,0.65490D+00
0.26000D+00,0.70900D+00,0.53562D+00,0.66569D+00,0.37779D+00,0.66595D+00,0.66268D+00,0.66176D+00,0.66722D+00
0.27000D+00,0.71825D+00,0.54564D+00,0.67520D+00,0.38945D+00,0.67720D+00,0.67313D+00,0.67161D+00,0.67857D+00
0.28000D+00,0.72688D+00,0.55535D+00,0.68409D+00,0.40063D+00,0.68763D+00,0.68289D+00,0.68088D+00,0.68908D+00
0.29000D+00,0.73496D+00,0.56479D+00,0.69242D+00,0.41135D+00,0.69731D+00,0.69202D+00,0.68960D+00,0.69885D+00
0.30000D+00,0.74254D+00,0.57395D+00,0.70023D+00,0.42165D+00,0.70632D+00,0.70057D+00,0.69782D+00,0.70795D+00
0.31000D+00,0.74967D+00,0.58288D+00,0.70758D+00,0.43154D+00,0.71473D+00,0.70860D+00,0.70557D+00,0.71646D+00
0.32000D+00,0.75638D+00,0.59158D+00,0.71450D+00,0.44105D+00,0.72259D+00,0.71615D+00,0.71291D+00,0.72445D+00
0.33000D+00,0.76271D+00,0.60007D+00,0.72104D+00,0.45020D+00,0.72995D+00,0.72325D+00,0.71985D+00,0.73196D+00
0.34000D+00,0.76870D+00,0.60837D+00,0.72723D+00,0.45901D+00,0.73685D+00,0.72996D+00,0.72644D+00,0.73904D+00
0.35000D+00,0.77438D+00,0.61651D+00,0.73309D+00,0.46750D+00,0.74336D+00,0.73630D+00,0.73269D+00,0.74573D+00
0.36000D+00,0.77977D+00,0.62448D+00,0.73867D+00,0.47569D+00,0.74949D+00,0.74231D+00,0.73865D+00,0.75207D+00
0.37000D+00,0.78491D+00,0.63232D+00,0.74398D+00,0.48359D+00,0.75529D+00,0.74801D+00,0.74432D+00,0.75808D+00
0.38000D+00,0.78981D+00,0.64003D+00,0.74904D+00,0.49122D+00,0.76079D+00,0.75344D+00,0.74975D+00,0.76380D+00
0.39000D+00,0.79450D+00,0.64761D+00,0.75389D+00,0.49859D+00,0.76602D+00,0.75863D+00,0.75494D+00,0.76924D+00
0.40000D+00,0.79899D+00,0.65509D+00,0.75853D+00,0.50572D+00,0.77100D+00,0.76358D+00,0.75991D+00,0.77444D+00
0.41000D+00,0.80330D+00,0.66246D+00,0.76299D+00,0.51263D+00,0.77576D+00,0.76833D+00,0.76469D+00,0.77940D+00
0.42000D+00,0.80745D+00,0.66974D+00,0.76728D+00,0.51932D+00,0.78032D+00,0.77288D+00,0.76929D+00,0.78416D+00
0.43000D+00,0.81144D+00,0.67691D+00,0.77141D+00,0.52580D+00,0.78470D+00,0.77727D+00,0.77372D+00,0.78872D+00
0.44000D+00,0.81530D+00,0.68400D+00,0.77540D+00,0.53210D+00,0.78891D+00,0.78150D+00,0.77800D+00,0.79310D+00
0.45000D+00,0.81902D+00,0.69099D+00,0.77926D+00,0.53821D+00,0.79297D+00,0.78558D+00,0.78213D+00,0.79732D+00
0.46000D+00,0.82263D+00,0.69790D+00,0.78299D+00,0.54414D+00,0.79690D+00,0.78953D+00,0.78613D+00,0.80138D+00
0.47000D+00,0.82612D+00,0.70471D+00,0.78661D+00,0.54991D+00,0.80069D+00,0.79336D+00,0.79001D+00,0.80530D+00
0.48000D+00,0.82951D+00,0.71144D+00,0.79013D+00,0.55553D+00,0.80437D+00,0.79707D+00,0.79377D+00,0.80908D+00
0.49000D+00,0.83280D+00,0.71807D+00,0.79354D+00,0.56099D+00,0.80794D+00,0.80068D+00,0.79742D+00,0.81274D+00
0.50000D+00,0.83599D+00,0.72460D+00,0.79686D+00,0.56631D+00,0.81141D+00,0.80419D+00,0.80097D+00,0.81628D+00
0.51000D+00,0.83910D+00,0.73105D+00,0.80008D+00,0.57150D+00,0.81479D+00,0.80760D+00,0.80442D+00,0.81972D+00
0.52000D+00,0.84212D+00,0.73739D+00,0.80323D+00,0.57655D+00,0.81808D+00,0.81093D+00,0.80778D+00,0.82304D+00
0.53000D+00,0.84507D+00,0.74364D+00,0.80629D+00,0.58148D+00,0.82128D+00,0.81417D+00,0.81105D+00,0.82627D+00
0.54000D+00,0.84793D+00,0.74978D+00,0.80927D+00,0.58630D+00,0.82441D+00,0.81733D+00,0.81424D+00,0.82941D+00
0.55000D+00,0.85073D+00,0.75583D+00,0.81218D+00,0.59099D+00,0.82746D+00,0.82042D+00,0.81734D+00,0.83246D+00
0.56000D+00,0.85345D+00,0.76177D+00,0.81502D+00,0.59558D+00,0.83043D+00,0.82343D+00,0.82037D+00,0.83542D+00
0.57000D+00,0.85610D+00,0.76760D+00,0.81779D+00,0.60006D+00,0.83334D+00,0.82638D+00,0.82332D+00,0.83830D+00
0.58000D+00,0.85869D+00,0.77333D+00,0.82049D+00,0.60444D+00,0.83618D+00,0.82925D+00,0.82620D+00,0.84110D+00
0.59000D+00,0.86121D+00,0.77895D+00,0.82313D+00,0.60872D+00,0.83895D+00,0.83206D+00,0.82901D+00,0.84383D+00
0.60000D+00,0.86368D+00,0.78447D+00,0.82570D+00,0.61290D+00,0.84166D+00,0.83480D+00,0.83175D+00,0.84649D+00
0.61000D+00,0.86608D+00,0.78988D+00,0.82822D+00,0.61699D+00,0.84431D+00,0.83749D+00,0.83442D+00,0.84908D+00
0.62000D+00,0.86842D+00,0.79518D+00,0.83068D+00,0.62100D+00,0.84690D+00,0.84011D+00,0.83703D+00,0.85160D+00
0.63000D+00,0.87071D+00,0.80037D+00,0.83307D+00,0.62491D+00,0.84943D+00,0.84267D+00,0.83958D+00,0.85406D+00
0.64000D+00,0.87294D+00,0.80546D+00,0.83542D+00,0.62875D+00,0.85191D+00,0.84518D+00,0.84207D+00,0.85646D+00
0.65000D+00,0.87512D+00,0.81044D+00,0.83771D+00,0.63250D+00,0.85433D+00,0.84763D+00,0.84450D+00,0.85879D+00
0.66000D+00,0.87725D+00,0.81531D+00,0.83994D+00,0.63618D+00,0.85669D+00,0.85003D+00,0.84687D+00,0.86107D+00
0.67000D+00,0.87932D+00,0.82008D+00,0.84213D+00,0.63978D+00,0.85900D+00,0.85237D+00,0.84919D+00,0.86329D+00
0.68000D+00,0.88135D+00,0.82474D+00,0.84426D+00,0.64330D+00,0.86126D+00,0.85466D+00,0.85146D+00,0.86546D+00
0.69000D+00,0.88333D+00,0.82931D+00,0.84635D+00,0.64675D+00,0.86347D+00,0.85690D+00,0.85367D+00,0.86757D+00
0.70000D+00,0.88526D+00,0.83377D+00,0.84838D+00,0.65014D+00,0.86563D+00,0.85909D+00,0.85583D+00,0.86963D+00
0.71000D+00,0.88715D+00,0.83813D+00,0.85038D+00,0.65345D+00,0.86774D+00,0.86123D+00,0.85795D+00,0.87165D+00
0.72000D+00,0.88899D+00,0.84239D+00,0.85232D+00,0.65670D+00,0.86980D+00,0.86333D+00,0.86001D+00,0.87361D+00
0.73000D+00,0.89079D+00,0.84655D+00,0.85423D+00,0.65989D+00,0.87181D+00,0.86538D+00,0.86203D+00,0.87553D+00
0.74000D+00,0.89255D+00,0.85062D+00,0.85609D+00,0.66301D+00,0.87378D+00,0.86738D+00,0.86401D+00,0.87740D+00
0.75000D+00,0.89427D+00,0.85459D+00,0.85790D+00,0.66607D+00,0.87571D+00,0.86934D+00,0.86594D+00,0.87923D+00
0.76000D+00,0.89594D+00,0.85847D+00,0.85968D+00,0.66908D+00,0.87759D+00,0.87125D+00,0.86783D+00,0.88102D+00
0.77000D+00,0.89758D+00,0.86226D+00,0.86142D+00,0.67202D+00,0.87942D+00,0.87313D+00,0.86967D+00,0.88276D+00
0.78000D+00,0.89919D+00,0.86595D+00,0.86312D+00,0.67491D+00,0.88122D+00,0.87496D+00,0.87148D+00,0.88447D+00
0.79000D+00,0.90075D+00,0.86957D+00,0.86478D+00,0.67774D+00,0.88297D+00,0.87675D+00,0.87325D+00,0.88613D+00
0.80000D+00,0.90228D+00,0.87309D+00,0.86641D+00,0.68052D+00,0.88469D+00,0.87851D+00,0.87498D+00,0.88776D+00
0.81000D+00,0.90378D+00,0.87653D+00,0.86800D+00,0.68325D+00,0.88637D+00,0.88022D+00,0.87667D+00,0.88935D+00
0.82000D+00,0.90524D+00,0.87989D+00,0.86956D+00,0.68593D+00,0.88800D+00,0.88190D+00,0.87833D+00,0.89090D+00
0.83000D+00,0.90667D+00,0.88316D+00,0.87108D+00,0.68856D+00,0.88961D+00,0.88354D+00,0.87995D+00,0.89243D+00
0.84000D+00,0.90807D+00,0.88636D+00,0.87257D+00,0.69114D+00,0.89117D+00,0.88515D+00,0.88154D+00,0.89391D+00
0.85000D+00,0.90944D+00,0.88947D+00,0.87403D+00,0.69367D+00,0.89270D+00,0.88672D+00,0.88310D+00,0.89537D+00
0.86000D+00,0.91077D+00,0.89251D+00,0.87546D+00,0.69616D+00,0.89420D+00,0.88826D+00,0.88462D+00,0.89679D+00
0.87000D+00,0.91208D+00,0.89548D+00,0.87686D+00,0.69860D+00,0.89566D+00,0.88977D+00,0.88611D+00,0.89819D+00
0.88000D+00,0.91336D+00,0.89837D+00,0.87823D+00,0.70100D+00,0.89709D+00,0.89124D+00,0.88758D+00,0.89955D+00
0.89000D+00,0.91462D+00,0.90119D+00,0.87957D+00,0.70335D+00,0.89849D+00,0.89269D+00,0.88901D+00,0.90088D+00
0.90000D+00,0.91584D+00,0.90393D+00,0.88088D+00,0.70566D+00,0.89986D+00,0.89410D+00,0.89042D+00,0.90219D+00
0.91000D+00,0.91704D+00,0.90661D+00,0.88217D+00,0.70794D+00,0.90120D+00,0.89548D+00,0.89179D+00,0.90347D+00
0.92000D+00,0.91822D+00,0.90922D+00,0.88343D+00,0.71017D+00,0.90251D+00,0.89684D+00,0.89314D+00,0.90473D+00
0.93000D+00,0.91937D+00,0.91177D+00,0.88466D+00,0.71236D+00,0.90380D+00,0.89817D+00,0.89447D+00,0.90596D+00
0.94000D+00,0.92049D+00,0.91424D+00,0.88587D+00,0.71452D+00,0.90505D+00,0.89947D+00,0.89577D+00,0.90716D+00
0.95000D+00,0.92160D+00,0.91666D+00,0.88706D+00,0.71663D+00,0.90628D+00,0.90074D+00,0.89704D+00,0.90834D+00
0.96000D+00,0.92268D+00,0.91901D+00,0.88822D+00,0.71871D+00,0.90748D+00,0.90199D+00,0.89829D+00,0.90950D+00
0.97000D+00,0.92374D+00,0.92130D+00,0.88936D+00,0.72076D+00,0.90866D+00,0.90321D+00,0.89951D+00,0.91064D+00
0.98000D+00,0.92477D+00,0.92353D+00,0.89048D+00,0.72277D+00,0.90981D+00,0.90441D+00,0.90072D+00,0.91175D+00
0.99000D+00,0.92579D+00,0.92571D+00,0.89157D+00,0.72474D+00,0.91094D+00,0.90558D+00,0.90189D+00,0.91284D+00
0.10000D+01,0.92678D+00,0.92782D+00,0.89265D+00,0.72669D+00,0.91205D+00,0.90673D+00,0.90305D+00,0.91391D+00
