"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3324,1,1,0,1,0.010941,0.0077361,0.10774,0
3.3324,1,1,0,1,0.011068,0.0078261,0.10783,0
3.3324,1,1,0,1,0.011195,0.007916,0.10792,0
3.3315,1,1,0,1,0.011322,0.008006,0.10801,0
3.3315,1,1,0,1,0.011449,0.008096,0.1081,0
3.3315,1,1,0,1,0.011577,0.0081859,0.10819,0
3.3315,1,1,0,1,0.011704,0.0082759,0.10828,0
3.3315,1,1,0,1,0.011831,0.0083658,0.10837,0
3.3315,1,1,0,1,0.011958,0.0084558,0.10846,0
3.3315,1,1,0,1,0.012085,0.0085457,0.10855,0
3.3315,1,1,0,1,0.012213,0.0086357,0.10864,0
3.3315,1,1,0,1,0.01234,0.0087256,0.10873,0
3.3315,1,1,0,1,0.012467,0.0088156,0.10882,0
3.3315,1,1,0,1,0.012594,0.0089055,0.10891,0
3.3315,1,1,0,1,0.012722,0.0089955,0.109,0
3.3305,1,1,0,1,0.012849,0.0090855,0.10909,0
3.3305,1,1,0,1,0.012976,0.0091754,0.10918,0
3.3305,1,1,0,1,0.013103,0.0092654,0.10927,0
3.3305,1,1,0,1,0.01323,0.0093553,0.10936,0
3.3305,1,1,0,1,0.013358,0.0094453,0.10945,0
3.3305,1,1,0,1,0.013485,0.0095352,0.10954,0
3.3305,1,1,0,1,0.013612,0.0096252,0.10963,0
3.3305,1,1,0,1,0.013739,0.0097151,0.10972,0
3.3305,1,1,0,1,0.013867,0.0098051,0.10981,0
3.3305,1,1,0,1,0.013994,0.0098951,0.1099,0
3.3305,1,1,0,1,0.014121,0.009985,0.10999,0
3.3296,1,1,0,1,0.014248,0.010075,0.11007,0
3.3296,1,1,0,1,0.014375,0.010165,0.11016,0
3.3296,1,1,0,1,0.014503,0.010255,0.11025,0
3.3296,1,1,0,1,0.01463,0.010345,0.11034,0
3.3296,1,1,0,1,0.014757,0.010435,0.11043,0
3.3296,1,1,0,1,0.014884,0.010525,0.11052,0
3.3296,1,1,0,1,0.015011,0.010615,0.11061,0
3.3296,1,1,0,1,0.015139,0.010705,0.1107,0
3.3296,1,1,0,1,0.015266,0.010795,0.11079,0
3.3296,1,1,0,1,0.015393,0.010885,0.11088,0
3.3296,1,1,0,1,0.01552,0.010975,0.11097,0
3.3286,1,1,0,1,0.015648,0.011064,0.11106,0
3.3286,1,1,0,1,0.015775,0.011154,0.11115,0
3.3286,1,1,0,1,0.015902,0.011244,0.11124,0
3.3286,1,1,0,1,0.016029,0.011334,0.11133,0
3.3286,1,1,0,1,0.016156,0.011424,0.11142,0
3.3286,1,1,0,1,0.016284,0.011514,0.11151,0
3.3286,1,1,0,1,0.016411,0.011604,0.1116,0
3.3286,1,1,0,1,0.016538,0.011694,0.11169,0
3.3286,1,1,0,1,0.016665,0.011784,0.11178,0
3.3286,1,1,0,1,0.016792,0.011874,0.11187,0
3.3286,1,1,0,1,0.01692,0.011964,0.11196,0
