"wetting potential","permeability","element marker","Points:0","Points:1","Points:2"
3.82138e+00,1.00000e+00,0.00000e+00,6.60000e-02,5.26400e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,6.70000e-02,5.26800e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,6.80000e-02,5.27200e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,6.90000e-02,5.27600e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,7.00000e-02,5.28000e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,7.10000e-02,5.28400e-01,0.00000e+00
3.80443e+00,1.00000e+00,0.00000e+00,7.20000e-02,5.28800e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.30000e-02,5.29200e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.40000e-02,5.29600e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.50000e-02,5.30000e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.60000e-02,5.30400e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.70000e-02,5.30800e-01,0.00000e+00
3.78879e+00,1.00000e+00,0.00000e+00,7.80000e-02,5.31200e-01,0.00000e+00
3.77427e+00,1.00000e+00,0.00000e+00,7.90000e-02,5.31600e-01,0.00000e+00
3.77427e+00,1.00000e+00,0.00000e+00,8.00000e-02,5.32000e-01,0.00000e+00
3.77427e+00,1.00000e+00,0.00000e+00,8.10000e-02,5.32400e-01,0.00000e+00
3.77427e+00,1.00000e+00,0.00000e+00,8.20000e-02,5.32800e-01,0.00000e+00
3.77427e+00,1.00000e+00,0.00000e+00,8.30000e-02,5.33200e-01,0.00000e+00
3.76032e+00,1.00000e+00,0.00000e+00,8.40000e-02,5.33600e-01,0.00000e+00
3.76032e+00,1.00000e+00,0.00000e+00,8.50000e-02,5.34000e-01,0.00000e+00
3.76032e+00,1.00000e+00,0.00000e+00,8.60000e-02,5.34400e-01,0.00000e+00
3.76032e+00,1.00000e+00,0.00000e+00,8.70000e-02,5.34800e-01,0.00000e+00
3.76032e+00,1.00000e+00,0.00000e+00,8.80000e-02,5.35200e-01,0.00000e+00
3.74655e+00,1.00000e+00,0.00000e+00,8.90000e-02,5.35600e-01,0.00000e+00
3.74655e+00,1.00000e+00,0.00000e+00,9.00000e-02,5.36000e-01,0.00000e+00
3.74655e+00,1.00000e+00,0.00000e+00,9.10000e-02,5.36400e-01,0.00000e+00
3.74655e+00,1.00000e+00,0.00000e+00,9.20000e-02,5.36800e-01,0.00000e+00
3.74655e+00,1.00000e+00,0.00000e+00,9.30000e-02,5.37200e-01,0.00000e+00
3.73303e+00,1.00000e+00,0.00000e+00,9.40000e-02,5.37600e-01,0.00000e+00
3.73303e+00,1.00000e+00,0.00000e+00,9.50000e-02,5.38000e-01,0.00000e+00
3.73303e+00,1.00000e+00,0.00000e+00,9.60000e-02,5.38400e-01,0.00000e+00
3.73303e+00,1.00000e+00,0.00000e+00,9.70000e-02,5.38800e-01,0.00000e+00
3.72055e+00,1.00000e+00,0.00000e+00,9.80000e-02,5.39200e-01,0.00000e+00
3.72055e+00,1.00000e+00,0.00000e+00,9.90000e-02,5.39600e-01,0.00000e+00
3.72055e+00,1.00000e+00,0.00000e+00,1.00000e-01,5.40000e-01,0.00000e+00
3.72055e+00,1.00000e+00,0.00000e+00,1.01000e-01,5.40400e-01,0.00000e+00
3.72055e+00,1.00000e+00,0.00000e+00,1.02000e-01,5.40800e-01,0.00000e+00
3.70644e+00,1.00000e+00,0.00000e+00,1.03000e-01,5.41200e-01,0.00000e+00
3.70644e+00,1.00000e+00,0.00000e+00,1.04000e-01,5.41600e-01,0.00000e+00
3.70644e+00,1.00000e+00,0.00000e+00,1.05000e-01,5.42000e-01,0.00000e+00
3.70644e+00,1.00000e+00,0.00000e+00,1.06000e-01,5.42400e-01,0.00000e+00
3.69417e+00,1.00000e+00,0.00000e+00,1.07000e-01,5.42800e-01,0.00000e+00
3.69417e+00,1.00000e+00,0.00000e+00,1.08000e-01,5.43200e-01,0.00000e+00
3.69417e+00,1.00000e+00,0.00000e+00,1.09000e-01,5.43600e-01,0.00000e+00
3.69417e+00,1.00000e+00,0.00000e+00,1.10000e-01,5.44000e-01,0.00000e+00
3.69417e+00,1.00000e+00,0.00000e+00,1.11000e-01,5.44400e-01,0.00000e+00
3.68051e+00,1.00000e+00,0.00000e+00,1.12000e-01,5.44800e-01,0.00000e+00
3.68051e+00,1.00000e+00,0.00000e+00,1.13000e-01,5.45200e-01,0.00000e+00
3.68051e+00,1.00000e+00,0.00000e+00,1.14000e-01,5.45600e-01,0.00000e+00
3.67336e+00,1.00000e+00,0.00000e+00,1.15000e-01,5.46000e-01,0.00000e+00
3.67336e+00,1.00000e+00,0.00000e+00,1.16000e-01,5.46400e-01,0.00000e+00
3.67336e+00,1.00000e+00,0.00000e+00,1.17000e-01,5.46800e-01,0.00000e+00
3.66131e+00,1.00000e+00,0.00000e+00,1.18000e-01,5.47200e-01,0.00000e+00
3.66131e+00,1.00000e+00,0.00000e+00,1.19000e-01,5.47600e-01,0.00000e+00
3.66131e+00,1.00000e+00,0.00000e+00,1.20000e-01,5.48000e-01,0.00000e+00
3.66131e+00,1.00000e+00,0.00000e+00,1.21000e-01,5.48400e-01,0.00000e+00
3.65173e+00,1.00000e+00,0.00000e+00,1.22000e-01,5.48800e-01,0.00000e+00
3.65173e+00,1.00000e+00,0.00000e+00,1.23000e-01,5.49200e-01,0.00000e+00
3.65173e+00,1.00000e+00,0.00000e+00,1.24000e-01,5.49600e-01,0.00000e+00
3.64261e+00,1.00000e+00,0.00000e+00,1.25000e-01,5.50000e-01,0.00000e+00
3.64261e+00,1.00000e+00,0.00000e+00,1.26000e-01,5.50400e-01,0.00000e+00
3.64261e+00,1.00000e+00,0.00000e+00,1.27000e-01,5.50800e-01,0.00000e+00
3.63323e+00,1.00000e+00,0.00000e+00,1.28000e-01,5.51200e-01,0.00000e+00
3.63323e+00,1.00000e+00,0.00000e+00,1.29000e-01,5.51600e-01,0.00000e+00
3.63323e+00,1.00000e+00,0.00000e+00,1.30000e-01,5.52000e-01,0.00000e+00
3.63323e+00,1.00000e+00,0.00000e+00,1.31000e-01,5.52400e-01,0.00000e+00
3.62391e+00,1.00000e+00,0.00000e+00,1.32000e-01,5.52800e-01,0.00000e+00
3.62391e+00,1.00000e+00,0.00000e+00,1.33000e-01,5.53200e-01,0.00000e+00
3.61538e+00,1.00000e+00,0.00000e+00,1.34000e-01,5.53600e-01,0.00000e+00
3.61538e+00,1.00000e+00,0.00000e+00,1.35000e-01,5.54000e-01,0.00000e+00
3.61538e+00,1.00000e+00,0.00000e+00,1.36000e-01,5.54400e-01,0.00000e+00
3.60718e+00,1.00000e+00,0.00000e+00,1.37000e-01,5.54800e-01,0.00000e+00
3.60718e+00,1.00000e+00,0.00000e+00,1.38000e-01,5.55200e-01,0.00000e+00
3.60718e+00,1.00000e+00,0.00000e+00,1.39000e-01,5.55600e-01,0.00000e+00
3.59795e+00,1.00000e+00,0.00000e+00,1.40000e-01,5.56000e-01,0.00000e+00
3.59795e+00,1.00000e+00,0.00000e+00,1.41000e-01,5.56400e-01,0.00000e+00
3.59795e+00,1.00000e+00,0.00000e+00,1.42000e-01,5.56800e-01,0.00000e+00
3.58944e+00,1.00000e+00,0.00000e+00,1.43000e-01,5.57200e-01,0.00000e+00
3.58944e+00,1.00000e+00,0.00000e+00,1.44000e-01,5.57600e-01,0.00000e+00
3.58347e+00,1.00000e+00,0.00000e+00,1.45000e-01,5.58000e-01,0.00000e+00
