"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.141319990158e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.500000238419e-01,5.000000000000e-01,8.500000238419e-01,0.000000000000e+00
1.141880035400e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.600000143051e-01,5.000000000000e-01,8.600000143051e-01,0.000000000000e+00
1.142400026321e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.700000047684e-01,5.000000000000e-01,8.700000047684e-01,0.000000000000e+00
1.142889976501e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.799999952316e-01,5.000000000000e-01,8.799999952316e-01,0.000000000000e+00
1.143329977989e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.899999856949e-01,5.000000000000e-01,8.899999856949e-01,0.000000000000e+00
1.143730044365e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,8.999999761581e-01,5.000000000000e-01,8.999999761581e-01,0.000000000000e+00
1.144099950790e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.100000262260e-01,5.000000000000e-01,9.100000262260e-01,0.000000000000e+00
1.144420027733e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.200000166893e-01,5.000000000000e-01,9.200000166893e-01,0.000000000000e+00
1.144709944725e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.300000071526e-01,5.000000000000e-01,9.300000071526e-01,0.000000000000e+00
1.144960045815e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.399999976158e-01,5.000000000000e-01,9.399999976158e-01,0.000000000000e+00
1.145169973373e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.499999880791e-01,5.000000000000e-01,9.499999880791e-01,0.000000000000e+00
1.145339965820e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.599999785423e-01,5.000000000000e-01,9.599999785423e-01,0.000000000000e+00
1.145470023155e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.700000286102e-01,5.000000000000e-01,9.700000286102e-01,0.000000000000e+00
1.145570039749e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.800000190735e-01,5.000000000000e-01,9.800000190735e-01,0.000000000000e+00
1.145630002022e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,9.900000095367e-01,5.000000000000e-01,9.900000095367e-01,0.000000000000e+00
1.145650029182e+00,1.000000000000e+04,1.000000000000e+04,0.000000000000e+00,1,1.000000000000e+00,5.000000000000e-01,1.000000000000e+00,0.000000000000e+00
