"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
118.11,1,1,107.29,107.29,-200,0
118.11,1,1,108.01,108.01,-200,0
118.05,1,1,108.73,108.73,-200,0
118.05,1,1,109.45,109.45,-200,0
118.05,1,1,110.17,110.17,-200,0
118.05,1,1,110.89,110.89,-200,0
118.05,1,1,111.61,111.61,-200,0
118.05,1,1,112.33,112.33,-200,0
117.99,1,1,113.05,113.05,-200,0
117.99,1,1,113.77,113.77,-200,0
117.99,1,1,114.49,114.49,-200,0
117.99,1,1,115.21,115.21,-200,0
117.99,1,1,115.93,115.93,-200,0
117.99,1,1,116.65,116.65,-200,0
117.92,1,1,117.37,117.37,-200,0
117.92,1,1,118.09,118.09,-200,0
117.92,1,1,118.81,118.81,-200,0
117.92,1,1,119.53,119.53,-200,0
117.92,1,1,120.25,120.25,-200,0
117.92,1,1,120.97,120.97,-200,0
117.86,1,1,121.69,121.69,-200,0
117.86,1,1,122.41,122.41,-200,0
117.86,1,1,123.13,123.13,-200,0
117.86,1,1,123.85,123.85,-200,0
117.86,1,1,124.57,124.57,-200,0
117.86,1,1,125.29,125.29,-200,0
117.8,1,1,126.01,126.01,-200,0
117.8,1,1,126.73,126.73,-200,0
117.8,1,1,127.45,127.45,-200,0
117.8,1,1,128.17,128.17,-200,0
117.8,1,1,128.89,128.89,-200,0
117.8,1,1,129.61,129.61,-200,0
117.73,1,1,130.33,130.33,-200,0
117.73,1,1,131.05,131.05,-200,0
117.73,1,1,131.77,131.77,-200,0
117.73,1,1,132.49,132.49,-200,0
117.73,1,1,133.21,133.21,-200,0
117.73,1,1,133.93,133.93,-200,0
117.66,1,1,134.65,134.65,-200,0
117.66,1,1,135.37,135.37,-200,0
117.66,1,1,136.09,136.09,-200,0
117.66,1,1,136.81,136.81,-200,0
117.66,1,1,137.53,137.53,-200,0
117.66,1,1,138.25,138.25,-200,0
117.59,1,1,138.97,138.97,-200,0
117.59,1,1,139.69,139.69,-200,0
117.59,1,1,140.41,140.41,-200,0
117.59,1,1,141.13,141.13,-200,0
117.59,1,1,141.85,141.85,-200,0
117.59,1,1,142.57,142.57,-200,0
117.52,1,1,143.29,143.29,-200,0
117.52,1,1,144.01,144.01,-200,0
117.52,1,1,144.73,144.73,-200,0
117.52,1,1,145.45,145.45,-200,0
117.52,1,1,146.17,146.17,-200,0
117.52,1,1,146.89,146.89,-200,0
117.44,1,1,147.61,147.61,-200,0
117.44,1,1,148.33,148.33,-200,0
117.44,1,1,149.05,149.05,-200,0
117.44,1,1,149.77,149.77,-200,0
117.44,1,1,150.5,150.5,-200,0
117.44,1,1,151.22,151.22,-200,0
117.36,1,1,151.94,151.94,-200,0
117.36,1,1,152.66,152.66,-200,0
117.36,1,1,153.38,153.38,-200,0
117.36,1,1,154.1,154.1,-200,0
117.36,1,1,154.82,154.82,-200,0
117.29,1,1,155.54,155.54,-200,0
117.29,1,1,156.26,156.26,-200,0
117.29,1,1,156.98,156.98,-200,0
117.29,1,1,157.7,157.7,-200,0
117.29,1,1,158.42,158.42,-200,0
117.29,1,1,159.14,159.14,-200,0
117.21,1,1,159.86,159.86,-200,0
117.21,1,1,160.58,160.58,-200,0
117.21,1,1,161.3,161.3,-200,0
117.21,1,1,162.02,162.02,-200,0
117.21,1,1,162.74,162.74,-200,0
117.21,1,1,163.46,163.46,-200,0
117.14,1,1,164.18,164.18,-200,0
