"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4711,1,1,0,1,0.026454,0.026454,0.7,0
1.4711,1,1,0,1,0.026703,0.026703,0.7,0
1.4711,1,1,0,1,0.026953,0.026953,0.7,0
1.4701,1,1,0,1,0.027202,0.027202,0.7,0
1.4701,1,1,0,1,0.027452,0.027452,0.7,0
1.4701,1,1,0,1,0.027702,0.027702,0.7,0
1.4701,1,1,0,1,0.027951,0.027951,0.7,0
1.4692,1,1,0,1,0.028201,0.028201,0.7,0
1.4692,1,1,0,1,0.02845,0.02845,0.7,0
1.4692,1,1,0,1,0.0287,0.0287,0.7,0
1.4692,1,1,0,1,0.028949,0.028949,0.7,0
1.4682,1,1,0,1,0.029199,0.029199,0.7,0
1.4682,1,1,0,1,0.029448,0.029448,0.7,0
1.4682,1,1,0,1,0.029698,0.029698,0.7,0
1.4682,1,1,0,1,0.029948,0.029948,0.7,0
1.4673,1,1,0,1,0.030197,0.030197,0.7,0
1.4673,1,1,0,1,0.030447,0.030447,0.7,0
1.4673,1,1,0,1,0.030696,0.030696,0.7,0
1.4673,1,1,0,1,0.030946,0.030946,0.7,0
1.4664,1,1,0,1,0.031195,0.031195,0.7,0
1.4664,1,1,0,1,0.031445,0.031445,0.7,0
1.4664,1,1,0,1,0.031695,0.031695,0.7,0
1.4664,1,1,0,1,0.031944,0.031944,0.7,0
1.4654,1,1,0,1,0.032194,0.032194,0.7,0
1.4654,1,1,0,1,0.032443,0.032443,0.7,0
1.4654,1,1,0,1,0.032693,0.032693,0.7,0
1.4654,1,1,0,1,0.032942,0.032942,0.7,0
1.4645,1,1,0,1,0.033192,0.033192,0.7,0
1.4645,1,1,0,1,0.033441,0.033441,0.7,0
1.4645,1,1,0,1,0.033691,0.033691,0.7,0
1.4645,1,1,0,1,0.033941,0.033941,0.7,0
1.4636,1,1,0,1,0.03419,0.03419,0.7,0
1.4636,1,1,0,1,0.03444,0.03444,0.7,0
1.4636,1,1,0,1,0.034689,0.034689,0.7,0
1.4636,1,1,0,1,0.034939,0.034939,0.7,0
1.4626,1,1,0,1,0.035188,0.035188,0.7,0
1.4626,1,1,0,1,0.035438,0.035438,0.7,0
1.4626,1,1,0,1,0.035688,0.035688,0.7,0
1.4626,1,1,0,1,0.035937,0.035937,0.7,0
1.4617,1,1,0,1,0.036187,0.036187,0.7,0
1.4617,1,1,0,1,0.036436,0.036436,0.7,0
1.4617,1,1,0,1,0.036686,0.036686,0.7,0
1.4617,1,1,0,1,0.036935,0.036935,0.7,0
1.4608,1,1,0,1,0.037185,0.037185,0.7,0
1.4608,1,1,0,1,0.037434,0.037434,0.7,0
1.4608,1,1,0,1,0.037684,0.037684,0.7,0
1.4608,1,1,0,1,0.037934,0.037934,0.7,0
1.4599,1,1,0,1,0.038183,0.038183,0.7,0
1.4599,1,1,0,1,0.038433,0.038433,0.7,0
1.4599,1,1,0,1,0.038682,0.038682,0.7,0
1.4599,1,1,0,1,0.038932,0.038932,0.7,0
1.459,1,1,0,1,0.039181,0.039181,0.7,0
1.459,1,1,0,1,0.039431,0.039431,0.7,0
1.459,1,1,0,1,0.039681,0.039681,0.7,0
1.459,1,1,0,1,0.03993,0.03993,0.7,0
1.458,1,1,0,1,0.04018,0.04018,0.7,0
1.458,1,1,0,1,0.040429,0.040429,0.7,0
1.458,1,1,0,1,0.040679,0.040679,0.7,0
1.458,1,1,0,1,0.040928,0.040928,0.7,0
1.4571,1,1,0,1,0.041178,0.041178,0.7,0
1.4571,1,1,0,1,0.041428,0.041428,0.7,0
1.4571,1,1,0,1,0.041677,0.041677,0.7,0
1.4571,1,1,0,1,0.041927,0.041927,0.7,0
1.4562,1,1,0,1,0.042176,0.042176,0.7,0
1.4562,1,1,0,1,0.042426,0.042426,0.7,0
1.4562,1,1,0,1,0.042675,0.042675,0.7,0
1.4562,1,1,0,1,0.042925,0.042925,0.7,0
1.4553,1,1,0,1,0.043174,0.043174,0.7,0
1.4553,1,1,0,1,0.043424,0.043424,0.7,0
1.4553,1,1,0,1,0.043674,0.043674,0.7,0
1.4553,1,1,0,1,0.043923,0.043923,0.7,0
1.4544,1,1,0,1,0.044173,0.044173,0.7,0
1.4544,1,1,0,1,0.044422,0.044422,0.7,0
1.4544,1,1,0,1,0.044672,0.044672,0.7,0
1.4544,1,1,0,1,0.044921,0.044921,0.7,0
1.4535,1,1,0,1,0.045171,0.045171,0.7,0
1.4535,1,1,0,1,0.045421,0.045421,0.7,0
1.4535,1,1,0,1,0.04567,0.04567,0.7,0
1.4535,1,1,0,1,0.04592,0.04592,0.7,0
1.4526,1,1,0,1,0.046169,0.046169,0.7,0
1.4526,1,1,0,1,0.046419,0.046419,0.7,0
1.4526,1,1,0,1,0.046668,0.046668,0.7,0
1.4526,1,1,0,1,0.046918,0.046918,0.7,0
1.4517,1,1,0,1,0.047167,0.047167,0.7,0
1.4517,1,1,0,1,0.047417,0.047417,0.7,0
1.4517,1,1,0,1,0.047667,0.047667,0.7,0
1.4517,1,1,0,1,0.047916,0.047916,0.7,0
1.4508,1,1,0,1,0.048166,0.048166,0.7,0
1.4508,1,1,0,1,0.048415,0.048415,0.7,0
1.4508,1,1,0,1,0.048665,0.048665,0.7,0
1.4508,1,1,0,1,0.048914,0.048914,0.7,0
1.4499,1,1,0,1,0.049164,0.049164,0.7,0
1.4499,1,1,0,1,0.049414,0.049414,0.7,0
1.4499,1,1,0,1,0.049663,0.049663,0.7,0
1.4499,1,1,0,1,0.049913,0.049913,0.7,0
1.449,1,1,0,1,0.050162,0.050162,0.7,0
1.449,1,1,0,1,0.050412,0.050412,0.7,0
1.449,1,1,0,1,0.050661,0.050661,0.7,0
1.449,1,1,0,1,0.050911,0.050911,0.7,0
1.4481,1,1,0,1,0.05116,0.05116,0.7,0
1.4481,1,1,0,1,0.05141,0.05141,0.7,0
1.4481,1,1,0,1,0.05166,0.05166,0.7,0
1.4481,1,1,0,1,0.051909,0.051909,0.7,0
1.4472,1,1,0,1,0.052159,0.052159,0.7,0
1.4472,1,1,0,1,0.052408,0.052408,0.7,0
1.4472,1,1,0,1,0.052658,0.052658,0.7,0
1.4472,1,1,0,1,0.052907,0.052907,0.7,0
1.4463,1,1,0,1,0.053157,0.053157,0.7,0
1.4463,1,1,0,1,0.053407,0.053407,0.7,0
1.4463,1,1,0,1,0.053656,0.053656,0.7,0
1.4463,1,1,0,1,0.053906,0.053906,0.7,0
1.4454,1,1,0,1,0.054155,0.054155,0.7,0
1.4454,1,1,0,1,0.054405,0.054405,0.7,0
1.4454,1,1,0,1,0.054654,0.054654,0.7,0
1.4454,1,1,0,1,0.054904,0.054904,0.7,0
1.4445,1,1,0,1,0.055153,0.055153,0.7,0
1.4445,1,1,0,1,0.055403,0.055403,0.7,0
1.4445,1,1,0,1,0.055653,0.055653,0.7,0
1.4445,1,1,0,1,0.055902,0.055902,0.7,0
1.4437,1,1,0,1,0.056152,0.056152,0.7,0
1.4437,1,1,0,1,0.056401,0.056401,0.7,0
1.4437,1,1,0,1,0.056651,0.056651,0.7,0
1.4437,1,1,0,1,0.0569,0.0569,0.7,0
1.4428,1,1,0,1,0.05715,0.05715,0.7,0
1.4428,1,1,0,1,0.0574,0.0574,0.7,0
1.4428,1,1,0,1,0.057649,0.057649,0.7,0
1.4428,1,1,0,1,0.057899,0.057899,0.7,0
1.4419,1,1,0,1,0.058148,0.058148,0.7,0
1.4419,1,1,0,1,0.058398,0.058398,0.7,0
1.4419,1,1,0,1,0.058647,0.058647,0.7,0
1.4419,1,1,0,1,0.058897,0.058897,0.7,0
1.441,1,1,0,1,0.059146,0.059146,0.7,0
1.441,1,1,0,1,0.059396,0.059396,0.7,0
1.441,1,1,0,1,0.059646,0.059646,0.7,0
