"wetting potential","permeability","element marker","Points:0","Points:1","Points:2"
1.81542e+00,1.00000e+00,0.00000e+00,0.00000e+00,5.00000e-01,0.00000e+00
1.81542e+00,1.00000e+00,0.00000e+00,1.00000e-03,5.00400e-01,0.00000e+00
1.81542e+00,1.00000e+00,0.00000e+00,2.00000e-03,5.00800e-01,0.00000e+00
1.81542e+00,1.00000e+00,0.00000e+00,3.00000e-03,5.01200e-01,0.00000e+00
1.81542e+00,1.00000e+00,0.00000e+00,4.00000e-03,5.01600e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,5.00000e-03,5.02000e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,6.00000e-03,5.02400e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,7.00000e-03,5.02800e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,8.00000e-03,5.03200e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,9.00000e-03,5.03600e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,1.00000e-02,5.04000e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,1.10000e-02,5.04400e-01,0.00000e+00
1.81334e+00,1.00000e+00,0.00000e+00,1.20000e-02,5.04800e-01,0.00000e+00
1.84093e+00,1.00000e+00,0.00000e+00,1.30000e-02,5.05200e-01,0.00000e+00
1.84093e+00,1.00000e+00,0.00000e+00,1.40000e-02,5.05600e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,1.50000e-02,5.06000e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,1.60000e-02,5.06400e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,1.70000e-02,5.06800e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,1.80000e-02,5.07200e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,1.90000e-02,5.07600e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,2.00000e-02,5.08000e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,2.10000e-02,5.08400e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,2.20000e-02,5.08800e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,2.30000e-02,5.09200e-01,0.00000e+00
1.84644e+00,1.00000e+00,0.00000e+00,2.40000e-02,5.09600e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,2.50000e-02,5.10000e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,2.60000e-02,5.10400e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,2.70000e-02,5.10800e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,2.80000e-02,5.11200e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,2.90000e-02,5.11600e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,3.00000e-02,5.12000e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,3.10000e-02,5.12400e-01,0.00000e+00
1.85399e+00,1.00000e+00,0.00000e+00,3.20000e-02,5.12800e-01,0.00000e+00
1.84088e+00,1.00000e+00,0.00000e+00,3.30000e-02,5.13200e-01,0.00000e+00
1.84088e+00,1.00000e+00,0.00000e+00,3.40000e-02,5.13600e-01,0.00000e+00
1.84088e+00,1.00000e+00,0.00000e+00,3.50000e-02,5.14000e-01,0.00000e+00
1.86442e+00,1.00000e+00,0.00000e+00,3.60000e-02,5.14400e-01,0.00000e+00
1.86442e+00,1.00000e+00,0.00000e+00,3.70000e-02,5.14800e-01,0.00000e+00
1.86442e+00,1.00000e+00,0.00000e+00,3.80000e-02,5.15200e-01,0.00000e+00
1.86442e+00,1.00000e+00,0.00000e+00,3.90000e-02,5.15600e-01,0.00000e+00
1.86442e+00,1.00000e+00,0.00000e+00,4.00000e-02,5.16000e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.10000e-02,5.16400e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.20000e-02,5.16800e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.30000e-02,5.17200e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.40000e-02,5.17600e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.50000e-02,5.18000e-01,0.00000e+00
1.86354e+00,1.00000e+00,0.00000e+00,4.60000e-02,5.18400e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,4.70000e-02,5.18800e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,4.80000e-02,5.19200e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,4.90000e-02,5.19600e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,5.00000e-02,5.20000e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,5.10000e-02,5.20400e-01,0.00000e+00
1.87003e+00,1.00000e+00,0.00000e+00,5.20000e-02,5.20800e-01,0.00000e+00
1.86914e+00,1.00000e+00,0.00000e+00,5.30000e-02,5.21200e-01,0.00000e+00
1.86914e+00,1.00000e+00,0.00000e+00,5.40000e-02,5.21600e-01,0.00000e+00
1.86914e+00,1.00000e+00,0.00000e+00,5.50000e-02,5.22000e-01,0.00000e+00
1.86914e+00,1.00000e+00,0.00000e+00,5.60000e-02,5.22400e-01,0.00000e+00
1.88594e+00,1.00000e+00,0.00000e+00,5.70000e-02,5.22800e-01,0.00000e+00
1.88594e+00,1.00000e+00,0.00000e+00,5.80000e-02,5.23200e-01,0.00000e+00
1.88594e+00,1.00000e+00,0.00000e+00,5.90000e-02,5.23600e-01,0.00000e+00
1.88594e+00,1.00000e+00,0.00000e+00,6.00000e-02,5.24000e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.10000e-02,5.24400e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.20000e-02,5.24800e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.30000e-02,5.25200e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.40000e-02,5.25600e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.50000e-02,5.26000e-01,0.00000e+00
1.88768e+00,1.00000e+00,0.00000e+00,6.60000e-02,5.26400e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,6.70000e-02,5.26800e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,6.80000e-02,5.27200e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,6.90000e-02,5.27600e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,7.00000e-02,5.28000e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,7.10000e-02,5.28400e-01,0.00000e+00
1.89167e+00,1.00000e+00,0.00000e+00,7.20000e-02,5.28800e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.30000e-02,5.29200e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.40000e-02,5.29600e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.50000e-02,5.30000e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.60000e-02,5.30400e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.70000e-02,5.30800e-01,0.00000e+00
1.89686e+00,1.00000e+00,0.00000e+00,7.80000e-02,5.31200e-01,0.00000e+00
1.90144e+00,1.00000e+00,0.00000e+00,7.90000e-02,5.31600e-01,0.00000e+00
1.90144e+00,1.00000e+00,0.00000e+00,8.00000e-02,5.32000e-01,0.00000e+00
1.90144e+00,1.00000e+00,0.00000e+00,8.10000e-02,5.32400e-01,0.00000e+00
1.90144e+00,1.00000e+00,0.00000e+00,8.20000e-02,5.32800e-01,0.00000e+00
1.90144e+00,1.00000e+00,0.00000e+00,8.30000e-02,5.33200e-01,0.00000e+00
1.90538e+00,1.00000e+00,0.00000e+00,8.40000e-02,5.33600e-01,0.00000e+00
1.90538e+00,1.00000e+00,0.00000e+00,8.50000e-02,5.34000e-01,0.00000e+00
1.90538e+00,1.00000e+00,0.00000e+00,8.60000e-02,5.34400e-01,0.00000e+00
1.90538e+00,1.00000e+00,0.00000e+00,8.70000e-02,5.34800e-01,0.00000e+00
1.90538e+00,1.00000e+00,0.00000e+00,8.80000e-02,5.35200e-01,0.00000e+00
1.90851e+00,1.00000e+00,0.00000e+00,8.90000e-02,5.35600e-01,0.00000e+00
1.90851e+00,1.00000e+00,0.00000e+00,9.00000e-02,5.36000e-01,0.00000e+00
1.90851e+00,1.00000e+00,0.00000e+00,9.10000e-02,5.36400e-01,0.00000e+00
1.90851e+00,1.00000e+00,0.00000e+00,9.20000e-02,5.36800e-01,0.00000e+00
1.90851e+00,1.00000e+00,0.00000e+00,9.30000e-02,5.37200e-01,0.00000e+00
1.91117e+00,1.00000e+00,0.00000e+00,9.40000e-02,5.37600e-01,0.00000e+00
1.91117e+00,1.00000e+00,0.00000e+00,9.50000e-02,5.38000e-01,0.00000e+00
1.91117e+00,1.00000e+00,0.00000e+00,9.60000e-02,5.38400e-01,0.00000e+00
1.91117e+00,1.00000e+00,0.00000e+00,9.70000e-02,5.38800e-01,0.00000e+00
1.91407e+00,1.00000e+00,0.00000e+00,9.80000e-02,5.39200e-01,0.00000e+00
1.91407e+00,1.00000e+00,0.00000e+00,9.90000e-02,5.39600e-01,0.00000e+00
1.91407e+00,1.00000e+00,0.00000e+00,1.00000e-01,5.40000e-01,0.00000e+00
1.91407e+00,1.00000e+00,0.00000e+00,1.01000e-01,5.40400e-01,0.00000e+00
1.91407e+00,1.00000e+00,0.00000e+00,1.02000e-01,5.40800e-01,0.00000e+00
1.91665e+00,1.00000e+00,0.00000e+00,1.03000e-01,5.41200e-01,0.00000e+00
