0.50000D+02,0.36398D-02,0.66171D-01,0.36448D-01,0.97013D-01,0.59322D-01,0.22470D-01,0.14934D-01,0.19732D-01,0.42642D-01,0.27175D-02,0.64331D-02,0.31880D-02,0.49448D-03,0.26546D-01,0.16712D-02,0.14358D-02,0.79433D-02,0.20412D-02,0.30208D-01,0.16322D-02,0.11086D-02,0.35178D-03,0.40468D-03,0.60883D-03,0.82303D-02,0.10953D-02,0.17955D-01,0.85506D-01,0.12343D-02,0.59047D-04,0.67906D-04,0.11490D-02,0.19362D-02,0.12864D-02,0.77207D-02,0.11649D-01,0.54126D-02,0.13225D-03,0.64182D-03,0.11414D-01,0.28456D-01,0.21423D-01,0.12263D-01,0.12421D-01,0.18793D-02,0.78459D-03,0.18051D-02,0.10187D-02,0.12436D-05,0.50909D-03,0.11773D-02,0.23360D-01
0.10000D+03,0.13604D-01,0.16102D+00,0.11286D+00,0.26148D+00,0.17351D+00,0.80365D-01,0.57051D-01,0.76609D-01,0.13554D+00,0.14778D-01,0.30403D-01,0.16768D-01,0.22404D-02,0.86951D-01,0.77814D-02,0.57248D-02,0.27807D-01,0.10026D-01,0.93772D-01,0.82444D-02,0.59720D-02,0.21434D-02,0.24862D-02,0.35793D-02,0.36141D-01,0.56344D-02,0.74463D-01,0.24380D+00,0.68930D-02,0.38818D-03,0.46214D-03,0.68375D-02,0.10158D-01,0.72199D-02,0.32609D-01,0.49313D-01,0.25390D-01,0.86696D-03,0.35568D-02,0.42625D-01,0.10795D+00,0.86751D-01,0.53011D-01,0.50257D-01,0.79675D-02,0.28125D-02,0.58692D-02,0.49283D-02,0.97086D-05,0.22971D-02,0.52212D-02,0.78912D-01
0.15000D+03,0.30868D-01,0.26315D+00,0.21298D+00,0.43239D+00,0.30738D+00,0.16904D+00,0.12773D+00,0.17094D+00,0.25550D+00,0.44292D-01,0.80556D-01,0.48989D-01,0.62185D-02,0.17150D+00,0.21485D-01,0.14043D-01,0.59145D-01,0.28582D-01,0.17687D+00,0.24105D-01,0.18358D-01,0.73567D-02,0.85274D-02,0.11810D-01,0.91177D-01,0.16606D-01,0.17355D+00,0.41958D+00,0.21643D-01,0.14810D-02,0.18298D-02,0.22387D-01,0.30168D-01,0.22891D-01,0.80429D-01,0.11982D+00,0.67934D-01,0.32298D-02,0.11280D-01,0.95296D-01,0.23330D+00,0.19760D+00,0.12907D+00,0.11814D+00,0.20334D-01,0.59410D-02,0.11576D-01,0.14138D-01,0.42336D-04,0.62409D-02,0.13760D-01,0.15640D+00
0.20000D+03,0.55428D-01,0.36364D+00,0.31924D+00,0.57563D+00,0.43253D+00,0.27463D+00,0.21945D+00,0.28949D+00,0.37750D+00,0.96775D-01,0.15811D+00,0.10494D+00,0.13678D-01,0.26707D+00,0.45561D-01,0.27415D-01,0.99440D-01,0.61526D-01,0.26628D+00,0.53075D-01,0.42077D-01,0.18627D-01,0.21471D-01,0.28720D-01,0.17310D+00,0.36667D-01,0.30182D+00,0.57438D+00,0.50183D-01,0.42332D-02,0.53605D-02,0.53284D-01,0.66600D-01,0.53611D-01,0.15094D+00,0.21929D+00,0.13587D+00,0.88666D-02,0.26675D-01,0.16577D+00,0.38051D+00,0.33624D+00,0.23450D+00,0.21126D+00,0.40604D-01,0.97786D-02,0.18248D-01,0.31126D-01,0.13572D-03,0.13246D-01,0.28097D-01,0.24046D+00
0.25000D+03,0.86801D-01,0.45820D+00,0.42032D+00,0.68422D+00,0.53660D+00,0.38325D+00,0.32129D+00,0.41528D+00,0.48750D+00,0.17244D+00,0.25685D+00,0.18408D+00,0.26106D-01,0.36378D+00,0.81746D-01,0.46734D-01,0.14577D+00,0.11063D+00,0.35409D+00,0.97378D-01,0.79786D-01,0.38665D-01,0.44199D-01,0.57291D-01,0.27492D+00,0.67349D-01,0.43903D+00,0.69540D+00,0.95614D-01,0.99821D-02,0.12781D-01,0.10303D+00,0.12155D+00,0.10294D+00,0.23867D+00,0.33635D+00,0.22588D+00,0.19872D-01,0.52137D-01,0.24751D+00,0.52457D+00,0.47936D+00,0.35580D+00,0.31918D+00,0.69890D-01,0.14000D-01,0.25613D-01,0.57919D-01,0.35591D-03,0.24170D-01,0.49076D-01,0.32014D+00
0.30000D+03,0.12418D+00,0.54446D+00,0.51101D+00,0.76347D+00,0.61851D+00,0.48530D+00,0.42327D+00,0.53450D+00,0.58099D+00,0.26623D+00,0.36650D+00,0.28066D+00,0.45062D-01,0.45579D+00,0.13034D+00,0.72676D-01,0.19554D+00,0.17514D+00,0.43634D+00,0.15695D+00,0.13220D+00,0.69576D-01,0.78746D-01,0.99186D-01,0.38629D+00,0.10874D+00,0.56791D+00,0.78447D+00,0.15836D+00,0.20415D-01,0.26144D-01,0.17177D+00,0.19392D+00,0.17129D+00,0.33548D+00,0.45751D+00,0.33017D+00,0.38418D-01,0.88944D-01,0.33332D+00,0.64940D+00,0.60898D+00,0.47855D+00,0.43045D+00,0.10868D+00,0.18449D-01,0.33798D-01,0.95670D-01,0.80719D-03,0.39725D-01,0.77005D-01,0.39064D+00
0.35000D+03,0.16649D+00,0.62107D+00,0.58985D+00,0.82108D+00,0.68200D+00,0.57582D+00,0.51840D+00,0.63891D+00,0.65838D+00,0.36987D+00,0.47650D+00,0.38602D+00,0.71916D-01,0.54009D+00,0.19015D+00,0.10559D+00,0.24678D+00,0.25202D+00,0.51115D+00,0.22948D+00,0.19789D+00,0.11231D+00,0.12575D+00,0.15429D+00,0.49698D+00,0.15961D+00,0.67826D+00,0.84816D+00,0.23603D+00,0.37340D-01,0.47462D-01,0.25618D+00,0.27978D+00,0.25559D+00,0.43322D+00,0.57139D+00,0.43931D+00,0.66291D-01,0.13696D+00,0.41696D+00,0.74888D+00,0.71597D+00,0.59177D+00,0.53581D+00,0.15677D+00,0.23126D-01,0.43164D-01,0.14443D+00,0.16375D-02,0.60387D-01,0.11163D+00,0.45134D+00
0.40000D+03,0.21246D+00,0.68756D+00,0.65720D+00,0.86342D+00,0.73173D+00,0.65323D+00,0.60288D+00,0.72533D+00,0.72176D+00,0.47458D+00,0.57865D+00,0.49128D+00,0.10757D+00,0.61534D+00,0.25879D+00,0.14541D+00,0.29804D+00,0.33679D+00,0.57769D+00,0.31105D+00,0.27374D+00,0.16641D+00,0.18431D+00,0.22075D+00,0.59912D+00,0.21786D+00,0.76657D+00,0.89314D+00,0.32407D+00,0.62375D-01,0.78276D-01,0.35054D+00,0.37348D+00,0.35025D+00,0.52553D+00,0.67074D+00,0.54472D+00,0.10449D+00,0.19474D+00,0.49400D+00,0.82367D+00,0.79862D+00,0.68916D+00,0.62943D+00,0.21319D+00,0.28129D-01,0.54153D-01,0.20315D+00,0.30386D-02,0.86327D-01,0.15222D+00,0.50347D+00
0.45000D+03,0.26078D+00,0.74415D+00,0.71415D+00,0.89504D+00,0.77158D+00,0.71793D+00,0.67539D+00,0.79400D+00,0.77345D+00,0.57309D+00,0.66801D+00,0.58933D+00,0.15221D+00,0.68115D+00,0.33312D+00,0.19164D+00,0.34841D+00,0.42448D+00,0.63578D+00,0.39697D+00,0.35560D+00,0.23015D+00,0.25216D+00,0.29544D+00,0.68800D+00,0.28096D+00,0.83384D+00,0.92473D+00,0.41688D+00,0.96620D-01,0.11931D+00,0.44818D+00,0.46892D+00,0.44851D+00,0.60845D+00,0.75252D+00,0.64013D+00,0.15299D+00,0.25988D+00,0.56199D+00,0.87769D+00,0.85949D+00,0.76858D+00,0.70876D+00,0.27634D+00,0.33619D-01,0.67176D-01,0.26986D+00,0.52409D-02,0.11739D+00,0.19763D+00,0.54872D+00
0.50000D+03,0.31021D+00,0.79158D+00,0.76203D+00,0.91898D+00,0.80437D+00,0.77124D+00,0.73621D+00,0.84696D+00,0.81552D+00,0.66064D+00,0.74265D+00,0.67565D+00,0.20527D+00,0.73777D+00,0.40977D+00,0.24333D+00,0.39730D+00,0.51048D+00,0.68574D+00,0.48265D+00,0.43913D+00,0.30083D+00,0.32618D+00,0.37455D+00,0.76182D+00,0.34640D+00,0.88325D+00,0.94686D+00,0.50891D+00,0.14042D+00,0.17028D+00,0.54289D+00,0.56065D+00,0.54402D+00,0.68023D+00,0.81685D+00,0.72204D+00,0.21070D+00,0.32950D+00,0.62018D+00,0.91566D+00,0.90287D+00,0.83070D+00,0.77365D+00,0.34415D+00,0.39790D-01,0.82566D-01,0.34200D+00,0.85023D-02,0.15309D+00,0.24655D+00,0.58858D+00
