550,0.346393,0.832926,0.803821,0.93428,0.843823,0.821824,0.79463,0.895501,0.854722,0.743509,0.815988,0.764189,0.260276,0.783025,0.483412,0.298497,0.450647,0.622061,0.724649,0.59127,0.571402,0.391597,0.426253,0.478283,0.828749,0.429885,0.923001,0.96479,0.620192,0.17473,0.225811,0.595097,0.635758,0.642429,0.743599,0.880848,0.828147,0.274486,0.414541,0.655518,0.947448,0.943257,0.886604,0.837863,0.400375,0.0418408,0.0786453,0.380643,0.00451525,0.191086,0.299496,0.653348,2.41036e-315
600,0.396745,0.866089,0.838282,0.948911,0.866387,0.857878,0.837259,0.924688,0.882587,0.807114,0.863661,0.824888,0.330052,0.824454,0.559524,0.359757,0.49388,0.69712,0.761426,0.668908,0.648914,0.471546,0.508211,0.560707,0.8753,0.49457,0.947976,0.975763,0.702142,0.236366,0.29539,0.674733,0.713075,0.723481,0.796582,0.916122,0.878465,0.347824,0.490893,0.697448,0.965288,0.96288,0.921299,0.878885,0.475507,0.0472407,0.0938195,0.457754,0.00751325,0.234466,0.354137,0.681927,2.10445e-315
650,0.44588,0.893076,0.866812,0.960383,0.886006,0.886674,0.871307,0.945901,0.905018,0.857096,0.899685,0.871769,0.403892,0.858866,0.630186,0.422817,0.535196,0.761474,0.792113,0.736544,0.717179,0.549058,0.586076,0.636819,0.910152,0.555461,0.965075,0.983283,0.771821,0.305337,0.370028,0.742812,0.77866,0.790922,0.839401,0.941096,0.9155,0.42389,0.562995,0.731982,0.977047,0.975774,0.945995,0.90986,0.549174,0.0536791,0.112101,0.533742,0.0118891,0.279974,0.408434,0.708136,1.87255e-315
700,0.493091,0.914923,0.890409,0.969384,0.903141,0.909616,0.898333,0.961199,0.92309,0.89534,0.926489,0.907042,0.478933,0.887196,0.693851,0.485892,0.574702,0.814962,0.817612,0.793602,0.775495,0.621578,0.657457,0.704706,0.935727,0.611946,0.976632,0.988419,0.828804,0.378986,0.446627,0.799046,0.832393,0.844888,0.873604,0.958531,0.941998,0.499682,0.629092,0.7606,0.984735,0.98416,0.963237,0.93301,0.618989,0.0614529,0.133737,0.606029,0.0179968,0.326491,0.461224,0.732355,1.69326e-315
750,0.537894,0.932536,0.909923,0.976435,0.918097,0.927874,0.919699,0.972174,0.937675,0.923991,0.946225,0.933055,0.552415,0.910339,0.749722,0.547331,0.612452,0.858256,0.838785,0.840427,0.824034,0.687326,0.72088,0.76346,0.954211,0.663749,0.984372,0.991927,0.873844,0.454385,0.522186,0.844216,0.875099,0.886675,0.900707,0.970617,0.960532,0.572545,0.688242,0.784588,0.989746,0.989587,0.975094,0.950203,0.683113,0.0708617,0.15882,0.672587,0.0261882,0.372964,0.511644,0.754845,1.55222e-315
800,0.579987,0.946686,0.926066,0.981939,0.931106,0.942405,0.936554,0.980023,0.94947,0.945106,0.960664,0.951958,0.621966,0.929115,0.797632,0.605737,0.648441,0.892521,0.856411,0.877965,0.863554,0.745295,0.775709,0.813002,0.967422,0.710801,0.989526,0.994331,0.908412,0.528683,0.594118,0.879719,0.908159,0.918162,0.922066,0.978988,0.97327,0.64038,0.740155,0.804978,0.993022,0.993097,0.983155,0.962927,0.740341,0.0821893,0.187272,0.732054,0.0367864,0.41848,0.559116,0.775791,1.43957e-315
850,0.619211,0.958016,0.939421,0.986214,0.942366,0.953982,0.949837,0.985629,0.959032,0.960473,0.97119,0.965555,0.685777,0.944249,0.837894,0.660045,0.682624,0.919137,0.87116,0.907471,0.895134,0.795155,0.821982,0.853844,0.976796,0.753159,0.99295,0.995988,0.934279,0.599406,0.660447,0.907184,0.933178,0.941374,0.93884,0.984813,0.981914,0.701743,0.785013,0.822555,0.995182,0.995379,0.988594,0.972332,0.790092,0.0956829,0.21886,0.783732,0.0500605,0.462307,0.603312,0.795326,1.34838e-315
900,0.65552,0.967061,0.950466,0.989514,0.952052,0.963218,0.960306,0.989636,0.966798,0.971557,0.978856,0.975277,0.74268,0.956372,0.87114,0.709543,0.714927,0.939497,0.883595,0.930287,0.919977,0.837113,0.860223,0.886867,0.983418,0.790952,0.995228,0.997139,0.953229,0.664639,0.71988,0.928217,0.951755,0.958198,0.951985,0.988902,0.987731,0.755838,0.823289,0.837906,0.996623,0.996874,0.992251,0.979287,0.832327,0.111534,0.253214,0.827518,0.0662028,0.503918,0.644103,0.813548,1.27369e-315
950,0.688946,0.974256,0.959591,0.992048,0.960331,0.970596,0.968564,0.992504,0.973115,0.979505,0.984443,0.982207,0.792123,0.966024,0.898182,0.753859,0.745268,0.954883,0.894171,0.947698,0.939264,0.871744,0.891253,0.913126,0.988092,0.824359,0.99675,0.997944,0.966877,0.723115,0.771781,0.94425,0.965334,0.970242,0.962276,0.991808,0.991629,0.802437,0.855618,0.851461,0.9976,0.997864,0.994707,0.984438,0.867425,0.129863,0.289855,0.863782,0.0853122,0.542976,0.681504,0.830531,1.2119e-315
1000,0.719579,0.97996,0.967118,0.99398,0.967359,0.976498,0.975087,0.994561,0.978257,0.985185,0.988522,0.987147,0.834084,0.973664,0.919898,0.79291,0.773574,0.966402,0.903252,0.960848,0.954077,0.899847,0.916037,0.933716,0.991394,0.853601,0.997772,0.998511,0.976576,0.774198,0.816077,0.956472,0.975141,0.978794,0.970333,0.993902,0.994242,0.841759,0.882691,0.863542,0.998275,0.998529,0.996361,0.988264,0.896047,0.150703,0.328236,0.893217,0.107384,0.579319,0.715629,0.846334,1.16031e-315
