0.10000D+08,0.49019D-03,0.11904D-01,0.18670D-10
0.20000D+08,0.34318D-02,0.37745D-01,0.12511D-09
0.30000D+08,0.13158D-01,0.72856D-01,0.45840D-09
0.40000D+08,0.36647D-01,0.11123D+00,0.12182D-08
0.50000D+08,0.83024D-01,0.14823D+00,0.26304D-08
0.60000D+08,0.16254D+00,0.18123D+00,0.49036D-08
0.70000D+08,0.28539D+00,0.20928D+00,0.81941D-08
0.80000D+08,0.46072D+00,0.23245D+00,0.12587D-07
0.90000D+08,0.69596D+00,0.25135D+00,0.18096D-07
0.10000D+09,0.99655D+00,0.26678D+00,0.24672D-07
0.11000D+09,0.13659D+01,0.27950D+00,0.32225D-07
0.12000D+09,0.18056D+01,0.29018D+00,0.40639D-07
0.13000D+09,0.23157D+01,0.29932D+00,0.49790D-07
0.14000D+09,0.28952D+01,0.30731D+00,0.59555D-07
0.15000D+09,0.35421D+01,0.31442D+00,0.69823D-07
0.16000D+09,0.42538D+01,0.32085D+00,0.80495D-07
0.17000D+09,0.50272D+01,0.32672D+00,0.91488D-07
0.18000D+09,0.58593D+01,0.33213D+00,0.10273D-06
0.19000D+09,0.67466D+01,0.33712D+00,0.11417D-06
0.20000D+09,0.76858D+01,0.34176D+00,0.12575D-06
0.21000D+09,0.86735D+01,0.34606D+00,0.13745D-06
0.22000D+09,0.97065D+01,0.35006D+00,0.14922D-06
0.23000D+09,0.10782D+02,0.35377D+00,0.16103D-06
0.24000D+09,0.11896D+02,0.35722D+00,0.17288D-06
0.25000D+09,0.13046D+02,0.36043D+00,0.18474D-06
0.26000D+09,0.14230D+02,0.36341D+00,0.19658D-06
0.27000D+09,0.15445D+02,0.36618D+00,0.20841D-06
0.28000D+09,0.16688D+02,0.36876D+00,0.22021D-06
0.29000D+09,0.17958D+02,0.37117D+00,0.23197D-06
0.30000D+09,0.19251D+02,0.37343D+00,0.24367D-06
0.31000D+09,0.20566D+02,0.37554D+00,0.25532D-06
0.32000D+09,0.21901D+02,0.37752D+00,0.26690D-06
0.33000D+09,0.23254D+02,0.37939D+00,0.27841D-06
0.34000D+09,0.24623D+02,0.38115D+00,0.28985D-06
0.35000D+09,0.26007D+02,0.38282D+00,0.30120D-06
0.36000D+09,0.27405D+02,0.38441D+00,0.31248D-06
0.37000D+09,0.28814D+02,0.38592D+00,0.32368D-06
0.38000D+09,0.30234D+02,0.38736D+00,0.33478D-06
0.39000D+09,0.31664D+02,0.38874D+00,0.34580D-06
0.40000D+09,0.33102D+02,0.39006D+00,0.35673D-06
0.41000D+09,0.34547D+02,0.39134D+00,0.36758D-06
0.42000D+09,0.35998D+02,0.39256D+00,0.37833D-06
0.43000D+09,0.37455D+02,0.39374D+00,0.38899D-06
