0.17443D+01,0.11343420D+00
0.34886D+01,0.57392514D+00
0.52328D+01,0.10344161D+01
0.69771D+01,0.14949070D+01
0.87214D+01,0.19553980D+01
0.10466D+02,0.24158889D+01
0.12210D+02,0.28763798D+01
0.13954D+02,0.33368708D+01
0.15698D+02,0.37973617D+01
0.17443D+02,0.42578526D+01
0.19187D+02,0.47183436D+01
0.20931D+02,0.51788345D+01
0.22676D+02,0.56393254D+01
0.24420D+02,0.60998164D+01
0.26164D+02,0.65603073D+01
0.27908D+02,0.70207983D+01
0.29653D+02,0.74812892D+01
0.31397D+02,0.79417801D+01
0.33141D+02,0.84022711D+01
0.34886D+02,0.88627620D+01
0.36630D+02,0.93232529D+01
0.38374D+02,0.97837439D+01
0.40118D+02,0.10244235D+02
0.41863D+02,0.10704726D+02
0.43607D+02,0.11165217D+02
0.45351D+02,0.11625708D+02
0.47095D+02,0.12086199D+02
0.48840D+02,0.12546689D+02
0.50584D+02,0.13007180D+02
0.52328D+02,0.13467671D+02
0.54073D+02,0.13928162D+02
0.55817D+02,0.14388653D+02
0.57561D+02,0.14849144D+02
0.59305D+02,0.15309635D+02
0.61050D+02,0.15521286D+02
0.62794D+02,0.15983900D+02
0.64538D+02,0.16446514D+02
0.66283D+02,0.16909128D+02
0.68027D+02,0.17371742D+02
0.69771D+02,0.18167807D+02
0.71515D+02,0.18627151D+02
0.73260D+02,0.19086495D+02
0.75004D+02,0.19545838D+02
0.76748D+02,0.20005182D+02
0.78492D+02,0.20464526D+02
0.80237D+02,0.20923870D+02
0.81981D+02,0.21383214D+02
0.83725D+02,0.21842557D+02
0.85470D+02,0.22301901D+02
0.87214D+02,0.22761245D+02
0.88958D+02,0.23220589D+02
0.90702D+02,0.23679933D+02
0.92447D+02,0.24139276D+02
0.94191D+02,0.24598620D+02
0.95935D+02,0.25057964D+02
0.97679D+02,0.25636775D+02
0.99424D+02,0.26155251D+02
0.10117D+03,0.26673727D+02
0.10291D+03,0.27192204D+02
0.10466D+03,0.27710680D+02
0.10640D+03,0.28229156D+02
0.10815D+03,0.28747632D+02
0.10989D+03,0.29266108D+02
0.11163D+03,0.29784584D+02
0.11338D+03,0.30303061D+02
0.11512D+03,0.30821537D+02
0.11687D+03,0.31340013D+02
0.11861D+03,0.31134299D+02
0.12036D+03,0.31655805D+02
0.12210D+03,0.32177311D+02
0.12384D+03,0.32698817D+02
0.12559D+03,0.33220323D+02
0.12733D+03,0.33741830D+02
0.12908D+03,0.34263336D+02
0.13082D+03,0.34784842D+02
0.13257D+03,0.35306348D+02
0.13431D+03,0.35827854D+02
0.13605D+03,0.36349360D+02
0.13780D+03,0.36870866D+02
0.13954D+03,0.37392372D+02
0.14129D+03,0.37913878D+02
0.14303D+03,0.38435384D+02
0.14477D+03,0.38956890D+02
0.14652D+03,0.39478396D+02
0.14826D+03,0.40517485D+02
0.15001D+03,0.41030825D+02
0.15175D+03,0.41544166D+02
0.15350D+03,0.42057506D+02
0.15524D+03,0.42570847D+02
0.15698D+03,0.42358057D+02
0.15873D+03,0.42874129D+02
0.16047D+03,0.43390201D+02
0.16222D+03,0.43906274D+02
0.16396D+03,0.44422346D+02
0.16571D+03,0.44938418D+02
0.16745D+03,0.45454490D+02
0.16919D+03,0.45970563D+02
0.17094D+03,0.46486635D+02
0.17268D+03,0.47002707D+02
0.17443D+03,0.48289549D+02
0.17617D+03,0.48874532D+02
0.17792D+03,0.49459515D+02
0.17966D+03,0.50113773D+02
