0.50000D+02,0.30135732D-02,0.62032038D-01,0.32631552D-01,0.89499934D-01,0.46467771D-01,0.18050654D-01,0.11648615D-01,0.17105106D-01,0.36602845D-01,0.20148853D-02,0.50537454D-02,0.23992216D-02,0.41362229D-03,0.22256319D-01,0.12851511D-02,0.12125827D-02,0.57836965D-02,0.16013769D-02,0.26367416D-01,0.12456509D-02,0.91895652D-03,0.24849239D-03,0.27463898D-03,0.41567852D-03,0.63409815D-02,0.53387153D-03,0.15559900D-01,0.82748207D-01,0.98787960D-03,0.27232792D-04,0.32056181D-04,0.80635333D-03,0.14931866D-02,0.96767862D-03,0.58259018D-02,0.10329178D-01,0.41947805D-02,0.79678124D-04,0.27070265D-03,0.79769661D-02,0.25078447D-01,0.18770931D-01,0.10796182D-01,0.96191529D-02,0.14625052D-02,0.66427509D-03,0.14463059D-02,0.79539452D-03,0.49105813D-07,0.39773981D-03,0.85224196D-03,0.18810771D-01
0.10000D+03,0.11964204D-01,0.15502871D+00,0.10560812D+00,0.25240982D+00,0.15320184D+00,0.69379423D-01,0.47871755D-01,0.70743215D-01,0.12365806D+00,0.11925678D-01,0.25961408D-01,0.13767612D-01,0.19259800D-02,0.78627016D-01,0.63124374D-02,0.50989527D-02,0.22680675D-01,0.83515535D-02,0.86748590D-01,0.66839205D-02,0.51519959D-02,0.15840208D-02,0.17931912D-02,0.26136268D-02,0.30003725D-01,0.32460811D-02,0.68195256D-01,0.24200842D+00,0.59064109D-02,0.20718641D-03,0.27223819D-03,0.52410630D-02,0.83676061D-02,0.58348070D-02,0.26451666D-01,0.46079298D-01,0.21167805D-01,0.59447804D-03,0.17810713D-02,0.32685764D-01,0.10074236D+00,0.80189511D-01,0.49174741D-01,0.42122747D-01,0.64405386D-02,0.26308774D-02,0.51993283D-02,0.40689177D-02,0.57740961D-06,0.19061724D-02,0.40975464D-02,0.71049069D-01
0.15000D+03,0.27955452D-01,0.25663899D+00,0.20489697D+00,0.42700265D+00,0.29233236D+00,0.15366761D+00,0.11325706D+00,0.16462727D+00,0.24246552D+00,0.38188551D-01,0.73172096D-01,0.43028871D-01,0.54425621D-02,0.16214849D+00,0.18184805D-01,0.12829898D-01,0.52090259D-01,0.24976220D-01,0.16894941D+00,0.20535106D-01,0.16399372D-01,0.56774928D-02,0.64956030D-02,0.91395449D-02,0.80093469D-01,0.10873744D-01,0.16518712D+00,0.42083236D+00,0.19590903D-01,0.89165900D-03,0.12334133D-02,0.18387549D-01,0.26163871D-01,0.19626531D-01,0.69068239D-01,0.11618704D+00,0.59914569D-01,0.24116807D-02,0.64738638D-02,0.78307166D-01,0.22639318D+00,0.18974149D+00,0.12418898D+00,0.10501750D+00,0.16914592D-01,0.59023557D-02,0.10805574D-01,0.12190551D-01,0.35667609D-05,0.53696447D-02,0.11375254D-01,0.15154352D+00
0.20000D+03,0.50897823D-01,0.35781997D+00,0.31255166D+00,0.57412118D+00,0.42914673D+00,0.25890725D+00,0.20279445D+00,0.28642058D+00,0.36715923D+00,0.87834825D-01,0.15019422D+00,0.97039310D-01,0.12166408D-01,0.25897122D+00,0.39946663D-01,0.25343638D-01,0.92145165D-01,0.55901915D-01,0.25866728D+00,0.47120722D-01,0.38755650D-01,0.14981468D-01,0.17181924D-01,0.23385570D-01,0.15875455D+00,0.26523175D-01,0.29485035D+00,0.57807063D+00,0.47464060D-01,0.28150380D-02,0.39622215D-02,0.46218339D-01,0.60156177D-01,0.48253995D-01,0.13556194D+00,0.21817775D+00,0.12517223D+00,0.70475041D-02,0.17106279D-01,0.14354081D+00,0.37875489D+00,0.33139654D+00,0.23134628D+00,0.19616850D+00,0.34631843D-01,0.10001945D-01,0.17295591D-01,0.27795666D-01,0.15407700D-04,0.11673149D-01,0.24083448D-01,0.24372060D+00
0.25000D+03,0.80395732D-01,0.45414281D+00,0.41619969D+00,0.68472089D+00,0.54374805D+00,0.37050928D+00,0.30606612D+00,0.41767611D+00,0.48129199D+00,0.16277842D+00,0.25180000D+00,0.17691869D+00,0.23640776D-01,0.35782161D+00,0.73843730D-01,0.43484291D-01,0.13954932D+00,0.10377402D+00,0.34710482D+00,0.89488606D-01,0.75472173D-01,0.32334581D-01,0.36978982D-01,0.48771086D-01,0.26053177D+00,0.52666193D-01,0.43621186D+00,0.70051007D+00,0.93620687D-01,0.72076087D-02,0.10121694D-01,0.93304791D-01,0.11338108D+00,0.96382407D-01,0.22193440D+00,0.34045137D+00,0.21519396D+00,0.16592769D-01,0.36636467D-01,0.22300128D+00,0.53026381D+00,0.48050489D+00,0.35682586D+00,0.30598082D+00,0.61066645D-01,0.14391543D-01,0.23978218D-01,0.53230073D-01,0.52283749D-04,0.21697039D-01,0.43271631D-01,0.33260975D+00
0.30000D+03,0.11598535D+00,0.54275479D+00,0.50982932D+00,0.76446760D+00,0.63183536D+00,0.47721470D+00,0.41213179D+00,0.54258162D+00,0.57883871D+00,0.25880201D+00,0.36697704D+00,0.27740858D+00,0.41641298D-01,0.45207438D+00,0.12075690D+00,0.68005269D-01,0.19097382D+00,0.16858070D+00,0.43012690D+00,0.14841836D+00,0.12793341D+00,0.60334859D-01,0.68567376D-01,0.87771222D-01,0.37516057D+00,0.90384604D-01,0.57016913D+00,0.79047715D+00,0.15925828D+00,0.15786571D-01,0.21868785D-01,0.16091731D+00,0.18552680D+00,0.16546096D+00,0.32027885D+00,0.46807218D+00,0.32263029D+00,0.33403504D-01,0.67410650D-01,0.30935916D+00,0.66195084D+00,0.61662197D+00,0.48489525D+00,0.42213870D+00,0.97277109D-01,0.18721939D-01,0.30677300D-01,0.90024632D-01,0.14844514D-03,0.36245499D-01,0.69566410D-01,0.41033906D+00
0.35000D+03,0.15699692D+00,0.62185547D+00,0.59150283D+00,0.82190055D+00,0.69745794D+00,0.57263719D+00,0.51256892D+00,0.65153369D+00,0.65962229D+00,0.36731248D+00,0.48354330D+00,0.38905154D+00,0.67907795D-01,0.53846700D+00,0.17997887D+00,0.99464474D-01,0.24375318D+00,0.24763750D+00,0.50591129D+00,0.22214646D+00,0.19521932D+00,0.10069368D+00,0.11345548D+00,0.14117787D+00,0.49136199D+00,0.13914354D+00,0.68497985D+00,0.85483645D+00,0.24213057D+00,0.30580362D-01,0.41517833D-01,0.24642328D+00,0.27300348D+00,0.25291397D+00,0.42172486D+00,0.58797774D+00,0.43731431D+00,0.59632971D-01,0.11049531D+00,0.39543328D+00,0.76606282D+00,0.72876062D+00,0.60315480D+00,0.53373623D+00,0.14368143D+00,0.22873409D-01,0.37622392D-01,0.13855791D+00,0.36683847D-03,0.55940983D-01,0.10307785D+00,0.47519557D+00
0.40000D+03,0.20244694D+00,0.69063249D+00,0.66129510D+00,0.86394706D+00,0.74680958D+00,0.65436332D+00,0.60237055D+00,0.74081780D+00,0.72560277D+00,0.47836298D+00,0.59169510D+00,0.50146389D+00,0.10378580D+00,0.61560233D+00,0.24936344D+00,0.13808995D+00,0.29607636D+00,0.33629935D+00,0.57362186D+00,0.30680778D+00,0.27432622D+00,0.15377781D+00,0.17154488D+00,0.20783698D+00,0.59979110D+00,0.19706042D+00,0.77637721D+00,0.90021423D+00,0.33712496D+00,0.53603414D-01,0.71071551D-01,0.34406137D+00,0.36995652D+00,0.35278714D+00,0.51880802D+00,0.69171678D+00,0.54928266D+00,0.96745256D-01,0.16539022D+00,0.47567561D+00,0.84294713D+00,0.81442573D+00,0.70438328D+00,0.63342029D+00,0.19986649D+00,0.26898591D-01,0.45272220D-01,0.19797745D+00,0.81053001D-03,0.81118919D-01,0.14334574D+00,0.52872772D+00
0.45000D+03,0.25109329D+00,0.74913081D+00,0.72013967D+00,0.89534107D+00,0.78521296D+00,0.72244060D+00,0.67948174D+00,0.81073146D+00,0.77912457D+00,0.58331745D+00,0.68550159D+00,0.60602702D+00,0.14988600D+00,0.68307722D+00,0.32575216D+00,0.18367458D+00,0.34689869D+00,0.42903781D+00,0.63296588D+00,0.39733404D+00,0.36086653D+00,0.21846316D+00,0.24109681D+00,0.28488962D+00,0.69444166D+00,0.26145046D+00,0.84522042D+00,0.93184740D+00,0.43757947D+00,0.86457577D-01,0.11175657D+00,0.44654152D+00,0.46969709D+00,0.45739929D+00,0.60658672D+00,0.77576599D+00,0.65088413D+00,0.14515425D+00,0.23016382D+00,0.54678543D+00,0.89695687D+00,0.87628780D+00,0.78604946D+00,0.71766009D+00,0.26452328D+00,0.30956118D-01,0.54186182D-01,0.26635452D+00,0.16325745D-02,0.11175898D+00,0.18938076D+00,0.57345670D+00
0.50000D+03,0.30159401D+00,0.79801718D+00,0.76929402D+00,0.91917595D+00,0.81635616D+00,0.77813874D+00,0.74384990D+00,0.86367370D+00,0.82234740D+00,0.67631058D+00,0.76271925D+00,0.69722124D+00,0.20586451D+00,0.74107777D+00,0.40552595D+00,0.23553259D+00,0.39573948D+00,0.52049981D+00,0.68408140D+00,0.48846348D+00,0.44995627D+00,0.29231197D+00,0.31906183D+00,0.36836957D+00,0.77269405D+00,0.32940610D+00,0.89493715D+00,0.95365991D+00,0.53676929D+00,0.12996732D+00,0.16369948D+00,0.54674414D+00,0.56603193D+00,0.55921257D+00,0.68265440D+00,0.84039347D+00,0.73762300D+00,0.20408264D+00,0.30189385D+00,0.60756272D+00,0.93351299D+00,0.91911232D+00,0.84887791D+00,0.78592360D+00,0.33554778D+00,0.35266856D-01,0.64947017D-01,0.34099319D+00,0.30417385D-02,0.14747136D+00,0.23980155D+00,0.61171398D+00
