0.17443D+01,0.34641888D+00
0.34886D+01,0.69283776D+00
0.52328D+01,0.10392566D+01
0.69771D+01,0.13856755D+01
0.87214D+01,0.17320944D+01
0.10466D+02,0.20785133D+01
0.12210D+02,0.24249322D+01
0.13954D+02,0.27713511D+01
0.15698D+02,0.31177699D+01
0.17443D+02,0.34641888D+01
0.19187D+02,0.38106077D+01
0.20931D+02,0.41570266D+01
0.22676D+02,0.45034455D+01
0.24420D+02,0.48498643D+01
0.26164D+02,0.51962832D+01
0.27908D+02,0.55427021D+01
0.29653D+02,0.58891210D+01
0.31397D+02,0.62355399D+01
0.33141D+02,0.65819588D+01
0.34886D+02,0.69283776D+01
0.36630D+02,0.72747965D+01
0.38374D+02,0.76212154D+01
0.40118D+02,0.79676343D+01
0.41863D+02,0.83140532D+01
0.43607D+02,0.86604721D+01
0.45351D+02,0.90068909D+01
0.47095D+02,0.93533098D+01
0.48840D+02,0.96997287D+01
0.50584D+02,0.10046148D+02
0.52328D+02,0.10392566D+02
0.54073D+02,0.10738985D+02
0.55817D+02,0.11085404D+02
0.57561D+02,0.11431823D+02
0.59305D+02,0.11778242D+02
0.61050D+02,0.12124661D+02
0.62794D+02,0.12471080D+02
0.64538D+02,0.12817499D+02
0.66283D+02,0.13163918D+02
0.68027D+02,0.13510336D+02
0.69771D+02,0.13897409D+02
0.71515D+02,0.14299046D+02
0.73260D+02,0.14700684D+02
0.75004D+02,0.15102321D+02
0.76748D+02,0.15503958D+02
0.78492D+02,0.15905596D+02
0.80237D+02,0.16307233D+02
0.81981D+02,0.16708871D+02
0.83725D+02,0.17110508D+02
0.85470D+02,0.17512146D+02
0.87214D+02,0.17913783D+02
0.88958D+02,0.18315420D+02
0.90702D+02,0.18717058D+02
0.92447D+02,0.19118695D+02
0.94191D+02,0.19520333D+02
0.95935D+02,0.19921970D+02
0.97679D+02,0.20323608D+02
0.99424D+02,0.20725245D+02
0.10117D+03,0.21126883D+02
0.10291D+03,0.21528520D+02
0.10466D+03,0.21930157D+02
0.10640D+03,0.22331795D+02
0.10815D+03,0.22733432D+02
0.10989D+03,0.23135070D+02
0.11163D+03,0.23536707D+02
0.11338D+03,0.23938345D+02
0.11512D+03,0.24339982D+02
0.11687D+03,0.24741619D+02
0.11861D+03,0.25143257D+02
0.12036D+03,0.25544894D+02
0.12210D+03,0.25946532D+02
0.12384D+03,0.26348169D+02
0.12559D+03,0.26749807D+02
0.12733D+03,0.27151444D+02
0.12908D+03,0.27553081D+02
0.13082D+03,0.27954719D+02
0.13257D+03,0.28356356D+02
0.13431D+03,0.28757174D+02
0.13605D+03,0.29132466D+02
0.13780D+03,0.29507758D+02
0.13954D+03,0.29898443D+02
0.14129D+03,0.30333015D+02
0.14303D+03,0.30767587D+02
0.14477D+03,0.31184496D+02
0.14652D+03,0.31585561D+02
0.14826D+03,0.31986626D+02
0.15001D+03,0.32387691D+02
0.15175D+03,0.32788756D+02
0.15350D+03,0.33189821D+02
0.15524D+03,0.33590886D+02
0.15698D+03,0.33991951D+02
0.15873D+03,0.34393016D+02
0.16047D+03,0.34794081D+02
0.16222D+03,0.35197728D+02
0.16396D+03,0.35651381D+02
0.16571D+03,0.36105034D+02
0.16745D+03,0.36558687D+02
0.16919D+03,0.37012340D+02
0.17094D+03,0.37465993D+02
0.17268D+03,0.37919646D+02
0.17443D+03,0.38373299D+02
0.17617D+03,0.38826953D+02
0.17792D+03,0.39280606D+02
0.17966D+03,0.39734259D+02
0.18140D+03,0.40187912D+02
0.18315D+03,0.40641565D+02
0.18489D+03,0.41057392D+02
0.18664D+03,0.41468258D+02
0.18838D+03,0.41879125D+02
0.19013D+03,0.42289991D+02
0.19187D+03,0.42700857D+02
0.19361D+03,0.43111724D+02
0.19536D+03,0.43522590D+02
0.19710D+03,0.43933456D+02
0.19885D+03,0.44344323D+02
0.20059D+03,0.44755189D+02
0.20234D+03,0.45166055D+02
0.20408D+03,0.45576922D+02
0.20582D+03,0.45987788D+02
0.20757D+03,0.46398654D+02
0.20931D+03,0.46809520D+02
0.21106D+03,0.47220387D+02
0.21280D+03,0.47630854D+02
0.21455D+03,0.48039701D+02
0.21629D+03,0.48448548D+02
0.21803D+03,0.48857396D+02
0.21978D+03,0.49277008D+02
0.22152D+03,0.49778123D+02
0.22327D+03,0.50279239D+02
0.22501D+03,0.50780354D+02
0.22676D+03,0.51281470D+02
0.22850D+03,0.51782440D+02
0.23024D+03,0.52280167D+02
0.23199D+03,0.52777894D+02
0.23373D+03,0.53275621D+02
0.23548D+03,0.53773348D+02
0.23722D+03,0.54271075D+02
0.23897D+03,0.54768802D+02
0.24071D+03,0.55266529D+02
0.24245D+03,0.55764256D+02
0.24420D+03,0.56261983D+02
0.24594D+03,0.56759709D+02
0.24769D+03,0.57257436D+02
0.24943D+03,0.57755163D+02
0.25118D+03,0.58252890D+02
0.25292D+03,0.58750617D+02
0.25466D+03,0.59248344D+02
0.25641D+03,0.59746433D+02
0.25815D+03,0.60254262D+02
0.25990D+03,0.60762091D+02
0.26164D+03,0.61269920D+02
0.26339D+03,0.61777750D+02
0.26513D+03,0.62285579D+02
0.26687D+03,0.62793408D+02
0.26862D+03,0.63301237D+02
0.27036D+03,0.63809066D+02
0.27211D+03,0.64316896D+02
0.27385D+03,0.64824725D+02
0.27560D+03,0.65332554D+02
0.27734D+03,0.65840383D+02
0.27908D+03,0.66348212D+02
0.28083D+03,0.66856041D+02
0.28257D+03,0.67363871D+02
0.28432D+03,0.67910405D+02
0.28606D+03,0.68531947D+02
0.28781D+03,0.69153489D+02
0.28955D+03,0.69775031D+02
0.29129D+03,0.70426226D+02
0.29304D+03,0.71053129D+02
0.29478D+03,0.71567856D+02
0.29653D+03,0.72082583D+02
0.29827D+03,0.72597310D+02
0.30002D+03,0.73112037D+02
0.30176D+03,0.73626764D+02
0.30350D+03,0.74141492D+02
0.30525D+03,0.74656219D+02
0.30699D+03,0.75170946D+02
0.30874D+03,0.75721361D+02
0.31048D+03,0.76281409D+02
0.31223D+03,0.76841457D+02
0.31397D+03,0.77401505D+02
0.31571D+03,0.77961553D+02
0.31746D+03,0.78521601D+02
0.31920D+03,0.79081650D+02
0.32095D+03,0.79641698D+02
0.32269D+03,0.80201746D+02
0.32444D+03,0.80761794D+02
0.32618D+03,0.81321842D+02
0.32792D+03,0.81881890D+02
0.32967D+03,0.82441939D+02
0.33141D+03,0.82988874D+02
0.33316D+03,0.83490020D+02
0.33490D+03,0.83991166D+02
0.33665D+03,0.84492312D+02
0.33839D+03,0.84993458D+02
0.34013D+03,0.85494604D+02
0.34188D+03,0.85995750D+02
0.34362D+03,0.86496896D+02
0.34537D+03,0.86998042D+02
0.34711D+03,0.87499188D+02
0.34886D+03,0.88000334D+02
0.35060D+03,0.88501480D+02
0.35234D+03,0.89012042D+02
0.35409D+03,0.89481327D+02
0.35583D+03,0.89950613D+02
0.35758D+03,0.90417866D+02
0.35932D+03,0.90886464D+02
0.36107D+03,0.91355062D+02
0.36281D+03,0.91823660D+02
0.36455D+03,0.92292258D+02
0.36630D+03,0.92760856D+02
0.36804D+03,0.93229454D+02
0.36979D+03,0.93698052D+02
0.37153D+03,0.94166650D+02
0.37328D+03,0.94635248D+02
0.37502D+03,0.95110723D+02
0.37676D+03,0.95671365D+02
0.37851D+03,0.96232007D+02
0.38025D+03,0.96792649D+02
0.38200D+03,0.97353291D+02
0.38374D+03,0.97913933D+02
0.38549D+03,0.98474575D+02
0.38723D+03,0.99035217D+02
0.38897D+03,0.99595859D+02
0.39072D+03,0.10015650D+03
0.39246D+03,0.10071714D+03
0.39421D+03,0.10127779D+03
0.39595D+03,0.10174698D+03
0.39770D+03,0.10215793D+03
0.39944D+03,0.10256889D+03
0.40118D+03,0.10297984D+03
0.40293D+03,0.10339079D+03
0.40467D+03,0.10380174D+03
0.40642D+03,0.10421269D+03
0.40816D+03,0.10462365D+03
0.40990D+03,0.10503460D+03
0.41165D+03,0.10544555D+03
0.41339D+03,0.10585765D+03
0.41514D+03,0.10620538D+03
0.41688D+03,0.10655269D+03
0.41863D+03,0.10690001D+03
