0.25000D-02,0.37496D-01,0.79806D-07,0.62331D-06,0.15936D-06,0.61115D-06,0.17657D-07,0.12092D-06,0.35496D-05,0.30549D-07,0.14669D-06,0.25192D-06,0.18778D-06,0.42024D-07,0.22592D-06,0.71026D-06,0.63114D-07,0.47433D-06,0.43016D-06,0.50630D-06,0.49628D-07,0.38227D-06,0.56558D-06
0.50000D-02,0.74973D-01,0.58349D-06,0.45577D-05,0.12506D-05,0.44695D-05,0.13909D-06,0.95589D-06,0.29001D-04,0.25734D-06,0.12236D-05,0.20765D-05,0.15649D-05,0.34675D-06,0.18629D-05,0.56158D-05,0.50260D-06,0.37890D-05,0.34602D-05,0.40417D-05,0.39968D-06,0.30819D-05,0.45880D-05
0.75000D-02,0.11239D+00,0.23381D-05,0.18270D-04,0.53355D-05,0.17919D-04,0.59530D-06,0.41058D-05,0.12737D-03,0.11685D-05,0.55022D-05,0.92396D-05,0.70303D-05,0.15443D-05,0.82933D-05,0.24138D-04,0.21732D-05,0.16429D-04,0.15090D-04,0.17511D-04,0.17452D-05,0.13469D-04,0.20151D-04
0.10000D-01,0.14968D+00,0.68037D-05,0.53200D-04,0.16421D-04,0.52185D-04,0.18373D-05,0.12717D-04,0.39966D-03,0.38008D-05,0.17726D-04,0.29487D-04,0.22626D-04,0.49327D-05,0.26483D-04,0.74855D-04,0.67729D-05,0.51328D-04,0.47376D-04,0.54669D-04,0.54865D-05,0.42372D-04,0.63646D-04
0.12500D-01,0.18675D+00,0.16088D-04,0.12591D-03,0.40841D-04,0.12352D-03,0.45808D-05,0.31821D-04,0.10051D-02,0.99313D-05,0.45884D-04,0.75687D-04,0.58505D-04,0.12671D-04,0.68019D-04,0.18762D-03,0.17048D-04,0.12948D-03,0.12000D-03,0.13780D-03,0.13916D-04,0.10753D-03,0.16203D-03
0.15000D-01,0.22345D+00,0.32822D-04,0.25711D-03,0.87229D-04,0.25227D-03,0.98050D-05,0.68352D-04,0.21550D-02,0.22172D-04,0.10150D-03,0.16616D-03,0.12927D-03,0.27836D-04,0.14943D-03,0.40387D-03,0.36835D-04,0.28028D-03,0.26068D-03,0.29805D-03,0.30275D-04,0.23401D-03,0.35349D-03
0.17500D-01,0.25964D+00,0.59926D-04,0.46995D-03,0.16608D-03,0.46115D-03,0.18704D-04,0.13085D-03,0.40933D-02,0.43934D-04,0.19931D-03,0.32409D-03,0.25358D-03,0.54328D-04,0.29168D-03,0.77507D-03,0.70921D-04,0.54055D-03,0.50422D-03,0.57433D-03,0.58651D-04,0.45343D-03,0.68622D-03
0.20000D-01,0.29517D+00,0.10035D-03,0.78792D-03,0.28904D-03,0.77322D-03,0.32608D-04,0.22891D-03,0.70685D-02,0.79279D-04,0.35650D-03,0.57615D-03,0.45304D-03,0.96639D-04,0.51895D-03,0.13597D-02,0.12478D-03,0.95238D-03,0.89064D-03,0.10111D-02,0.10377D-03,0.80227D-03,0.12158D-02
0.22500D-01,0.32987D+00,0.15682D-03,0.12329D-02,0.46804D-03,0.12099D-02,0.52885D-04,0.37252D-03,0.11303D-01,0.13268D-03,0.59150D-03,0.95067D-03,0.75078D-03,0.15955D-03,0.85701D-03,0.22193D-02,0.20423D-03,0.15606D-02,0.14626D-02,0.16553D-02,0.17070D-03,0.13196D-02,0.20016D-02
0.25000D-01,0.36361D+00,0.23164D-03,0.18234D-02,0.71453D-03,0.17896D-02,0.80850D-04,0.57142D-03,0.16971D-01,0.20873D-03,0.92276D-03,0.14757D-02,0.11698D-02,0.24781D-03,0.13315D-02,0.34150D-02,0.31505D-03,0.24096D-02,0.22626D-02,0.25537D-02,0.26456D-03,0.20445D-02,0.31031D-02
