0.48,0.830707,0.685778,0.793849,0.56136,0.828348,0.786003,0.784801,0.832191,-0.000671583,-0.00112695
0.49,0.834056,0.692518,0.797319,0.566771,0.831705,0.789909,0.788764,0.835508,-0.000682313,-0.0011372
0.5,0.837298,0.699136,0.800679,0.572048,0.834941,0.793699,0.792611,0.838704,-0.000692839,-0.00114714
0.51,0.840436,0.705633,0.803935,0.577195,0.838063,0.797378,0.796345,0.841787,-0.000703168,-0.00115679
0.52,0.843477,0.712009,0.807091,0.582217,0.841076,0.800952,0.799972,0.844763,-0.000713307,-0.00116617
0.53,0.846424,0.718267,0.810152,0.587121,0.843988,0.804424,0.803497,0.847636,-0.000723261,-0.00117528
0.54,0.849282,0.724406,0.813124,0.591909,0.846803,0.807799,0.806923,0.850414,-0.000733038,-0.00118414
0.55,0.852055,0.730429,0.816008,0.596586,0.849526,0.811081,0.810254,0.8531,-0.000742643,-0.00119275
0.56,0.854747,0.736336,0.81881,0.601156,0.852162,0.814273,0.813494,0.855699,-0.00075208,-0.00120114
0.57,0.857361,0.742129,0.821533,0.605623,0.854715,0.817379,0.816646,0.858217,-0.000761356,-0.0012093
0.58,0.8599,0.747809,0.82418,0.60999,0.857189,0.820403,0.819715,0.860656,-0.000770475,-0.00121725
0.59,0.862368,0.753378,0.826754,0.614261,0.859588,0.823347,0.822703,0.86302,-0.000779442,-0.001225
0.6,0.864768,0.758837,0.829259,0.618439,0.861915,0.826214,0.825613,0.865313,-0.000788261,-0.00123255
0.61,0.867102,0.764188,0.831697,0.622528,0.864175,0.829008,0.828448,0.867539,-0.000796936,-0.00123991
0.62,0.869372,0.769432,0.834071,0.626529,0.866369,0.831731,0.831211,0.869699,-0.000805471,-0.00124709
0.63,0.871583,0.774572,0.836383,0.630446,0.868501,0.834386,0.833904,0.871798,-0.00081387,-0.0012541
0.64,0.873735,0.779608,0.838636,0.634282,0.870573,0.836975,0.83653,0.873838,-0.000822136,-0.00126095
0.65,0.875831,0.784542,0.840831,0.638039,0.872588,0.8395,0.839091,0.875821,-0.000830273,-0.00126763
0.66,0.877873,0.789376,0.842972,0.641719,0.874549,0.841964,0.84159,0.87775,-0.000838284,-0.00127416
0.67,0.879863,0.794112,0.84506,0.645325,0.876457,0.844369,0.844029,0.879627,-0.000846172,-0.00128054
0.68,0.881804,0.798751,0.847097,0.648859,0.878315,0.846717,0.846409,0.881455,-0.00085394,-0.00128677
0.69,0.883696,0.803295,0.849085,0.652323,0.880125,0.84901,0.848733,0.883234,-0.00086159,-0.00129287
0.7,0.885541,0.807746,0.851026,0.655719,0.881889,0.851249,0.851002,0.884968,-0.000869125,-0.00129883
0.71,0.887342,0.812105,0.85292,0.659049,0.883608,0.853437,0.853219,0.886658,-0.000876548,-0.00130467
0.72,0.8891,0.816375,0.854771,0.662315,0.885285,0.855575,0.855385,0.888305,-0.000883861,-0.00131038
0.73,0.890816,0.820555,0.856579,0.665519,0.886921,0.857664,0.857501,0.889912,-0.000891067,-0.00131597
0.74,0.892491,0.82465,0.858346,0.668662,0.888517,0.859707,0.859569,0.89148,-0.000898166,-0.00132144
0.75,0.894127,0.828659,0.860072,0.671746,0.890074,0.861704,0.861591,0.89301,-0.000905162,-0.0013268
0.76,0.895726,0.832584,0.86176,0.674773,0.891596,0.863657,0.863568,0.894503,-0.000912056,-0.00133205
0.77,0.897288,0.836428,0.863411,0.677744,0.893081,0.865568,0.865502,0.895962,-0.000918851,-0.00133719
0.78,0.898814,0.840192,0.865026,0.68066,0.894533,0.867437,0.867393,0.897387,-0.000925548,-0.00134223
0.79,0.900307,0.843876,0.866606,0.683523,0.895952,0.869266,0.869243,0.898779,-0.000932148,-0.00134717
0.8,0.901766,0.847484,0.868151,0.686334,0.897339,0.871056,0.871053,0.90014,-0.000938654,-0.00135202
0.81,0.903193,0.851015,0.869664,0.689095,0.898695,0.872809,0.872825,0.90147,-0.000945067,-0.00135677
0.82,0.904589,0.854472,0.871145,0.691806,0.900021,0.874525,0.874559,0.902771,-0.000951389,-0.00136143
0.83,0.905955,0.857857,0.872595,0.69447,0.901319,0.876205,0.876257,0.904044,-0.000957621,-0.001366
0.84,0.907291,0.86117,0.874015,0.697086,0.902589,0.87785,0.87792,0.905289,-0.000963764,-0.00137048
0.85,0.908599,0.864412,0.875406,0.699656,0.903833,0.879462,0.879548,0.906508,-0.00096982,-0.00137488
0.86,0.90988,0.867586,0.876769,0.702182,0.90505,0.881041,0.881142,0.907701,-0.000975791,-0.0013792
0.87,0.911133,0.870693,0.878104,0.704663,0.906242,0.882588,0.882704,0.908869,-0.000981677,-0.00138344
0.88,0.912361,0.873733,0.879412,0.707102,0.907409,0.884105,0.884234,0.910013,-0.000987481,-0.0013876
0.89,0.913563,0.876709,0.880695,0.709499,0.908553,0.885591,0.885734,0.911134,-0.000993202,-0.00139169
0.9,0.914741,0.879621,0.881952,0.711855,0.909674,0.887048,0.887204,0.912232,-0.000998843,-0.0013957
0.91,0.915894,0.88247,0.883185,0.714171,0.910773,0.888476,0.888644,0.913308,-0.0010044,-0.00139964
0.92,0.917025,0.885259,0.884394,0.716448,0.91185,0.889876,0.890056,0.914363,-0.00100989,-0.00140351
0.93,0.918133,0.887987,0.885579,0.718686,0.912907,0.89125,0.89144,0.915398,-0.00101529,-0.00140732
0.94,0.919219,0.890657,0.886742,0.720886,0.913943,0.892597,0.892798,0.916412,-0.00102062,-0.00141105
0.95,0.920283,0.893269,0.887884,0.72305,0.914959,0.893918,0.894129,0.917407,-0.00102588,-0.00141472
0.96,0.921327,0.895824,0.889003,0.725178,0.915956,0.895214,0.895435,0.918383,-0.00103106,-0.00141833
0.97,0.922351,0.898324,0.890102,0.72727,0.916934,0.896486,0.896715,0.91934,-0.00103617,-0.00142188
0.98,0.923354,0.900769,0.891181,0.729328,0.917894,0.897734,0.897972,0.92028,-0.0010412,-0.00142536
0.99,0.924339,0.903161,0.89224,0.731352,0.918837,0.898959,0.899204,0.921202,-0.00104617,-0.00142878
1,0.925304,0.905501,0.893279,0.733343,0.919762,0.900161,0.900414,0.922108,-0.00105106,-0.00143215
